"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
1,172.5,190,"[C5H5O]-",81.03459,"C5H6O_M-H; C5H8O2_M-H2O-H",NA,NA,NA,NA,56530.71875,60323.14453125,57067.44921875,54979.375,56667.0546875,57537.2265625,48270.94921875,52317.703125,44893.078125,49977.87109375,54786.58984375,50748.86328125,43814.26953125,43080.015625,44407.71484375,51837.796875,52432.21484375,45989.45703125,43705.73828125,68200.546875,51896.2578125,46265.3046875,43002.96875,51754.76953125,50588.0703125,44276.328125,51752.109375,49647.86328125,48765.7421875,55618.87890625,58443.32421875,55439.51171875,50862.58984375,57588.26953125,47276.171875,60500.16015625,51697.3671875,47885.734375,58025.76953125,44162.078125,48057.953125,57416.2578125,43641.1484375,35314.9453125,59490.33984375,55855.04296875,52555.4609375,54403.55859375,49485.76953125,43771.90234375,37863.80859375,50966.203125,52872.92578125
2,155,172.5,"[C5H5O]-",81.03459,"C5H6O_M-H; C5H8O2_M-H2O-H",NA,NA,NA,NA,56530.71875,60323.14453125,57067.44921875,54979.375,56667.0546875,57537.2265625,48270.94921875,52317.703125,44893.078125,49977.87109375,54786.58984375,50748.86328125,43814.26953125,43080.015625,44407.71484375,51837.796875,52432.21484375,45989.45703125,43705.73828125,68200.546875,51896.2578125,46265.3046875,43002.96875,51754.76953125,50588.0703125,44276.328125,51752.109375,49647.86328125,48765.7421875,55618.87890625,58443.32421875,55439.51171875,50862.58984375,57588.26953125,47276.171875,60500.16015625,51697.3671875,47885.734375,58025.76953125,44162.078125,48057.953125,57416.2578125,43641.1484375,35314.9453125,59490.33984375,55855.04296875,52555.4609375,54403.55859375,49485.76953125,43771.90234375,37863.80859375,50966.203125,52872.92578125
3,164.958653856,186.212791056,"[C4H3O2]-",83.01385,"C4H4O2_M-H; C4H6O3_M-H2O-H",5118.1845703125,7229.01904296875,NA,5445.8662109375,173162.609375,143762.703125,172610.171875,138033.28125,149753.6875,174271.015625,164647.09375,144377.0625,156531.046875,168535.015625,146917.859375,151209.90625,174080.453125,159844.265625,162779.421875,157824.65625,155056.71875,160997.1875,163769.015625,182826.671875,147424.3125,143191.484375,111712.78125,117609.859375,135789.96875,163661.28125,174231.390625,167967.140625,178270.046875,165659.8125,158558.15625,152263.09375,165012.65625,147451.890625,152494.859375,172005.578125,143989.21875,144223.6875,142762.578125,153674.375,148954.421875,159092.171875,146950.203125,128584.8828125,161879.625,133995.859375,156551.671875,163354.25,158070.625,131539.421875,148990.40625,160543.625,165359.03125
4,154.09544435202,164.958653856,"[C4H3O2]-",83.01385,"C4H4O2_M-H; C4H6O3_M-H2O-H",NA,NA,NA,6161.50146484375,173162.609375,140766.5625,172610.171875,137410.3125,149753.6875,174271.015625,164647.09375,144377.0625,156531.046875,168535.015625,146917.859375,151209.90625,174080.453125,159844.265625,148180.640625,157824.65625,155056.71875,160997.1875,163769.015625,182826.671875,147424.3125,134224.6875,108466.625,117609.859375,135367.5625,148697.90625,174231.390625,167967.140625,178270.046875,165659.8125,148667.3125,152263.09375,165012.65625,147451.890625,152494.859375,170461.796875,143989.21875,138563.90625,142762.578125,153674.375,148954.421875,159092.171875,146950.203125,128584.8828125,160801.109375,133995.859375,156551.671875,163354.25,158070.625,131539.421875,148990.40625,160543.625,164036.828125
5,186.212791056,208.984086096,"[C4H3O2]-",83.01385,"C4H4O2_M-H; C4H6O3_M-H2O-H",4155.1611328125,7229.01904296875,NA,5445.8662109375,107794.6796875,108099.6328125,140519.5,138033.28125,126023.1796875,132203.875,112980.6328125,113437.1875,135314.578125,153178.953125,119642.40625,121340.984375,124603.84375,137437.375,109523.0234375,127252.6640625,109346.5234375,113628.0859375,124880.2421875,150014.546875,127218.296875,118134.6953125,111712.78125,109146.0078125,132626.359375,129611.2109375,138568.140625,123712.125,121824.8359375,137117.828125,145298.15625,136509.5625,140218.609375,129152.875,94796.84375,97634.9453125,133822.765625,107822.265625,113603.375,120812.3046875,144601.28125,113994.96875,99531.734375,105470.875,161879.625,100621.0703125,128129.859375,115230.6328125,147865.296875,118851.578125,120521.1015625,145298.015625,160199.59375
6,208.984086096,231.755381136,"[C4H3O2]-",83.01385,"C4H4O2_M-H; C4H6O3_M-H2O-H",NA,NA,NA,NA,23361.830078125,22893.7421875,20692.357421875,21006.841796875,20119.861328125,22580.1484375,23884.0703125,26149.046875,21942.23828125,19717.34765625,25653.328125,22377.423828125,21194.802734375,25048.078125,19306.6328125,19006.77734375,19564.7109375,22823.17578125,22804.603515625,21071.3125,27196.29296875,21469.966796875,18964.833984375,16700.228515625,18939.1875,22631.62890625,23709.701171875,22769.56640625,19485.748046875,23544.70703125,26467.595703125,28313.244140625,22716.953125,18558.255859375,19360.703125,26603.294921875,23080.123046875,24465.037109375,20558.544921875,21948.953125,20632.091796875,18975.837890625,20300.142578125,24339.23046875,27623.294921875,12019.201171875,22148.181640625,24776.517578125,23365.09765625,18716.34375,18406.375,23521.447265625,23412.486328125
7,122.5,132.5,"[C4H3O2]-",83.01385,"C4H4O2_M-H; C4H6O3_M-H2O-H",NA,NA,NA,NA,10615.9814453125,14706.3232421875,13934.9462890625,14620.6767578125,14156.978515625,16978.9453125,17400.384765625,12264.4365234375,12050.13671875,14522.6435546875,11132.5859375,14150.4013671875,14807.1923828125,14512.546875,10076.80859375,9781.18359375,11850.830078125,8982.6962890625,11180.77734375,20306.162109375,14282.828125,14071.6171875,21737.55859375,14992.1484375,13094.4931640625,15712.7412109375,11005.8603515625,15884.5,12874.84765625,15466.056640625,11602.0888671875,13448.4208984375,13895.93359375,11810.1357421875,11923.46484375,15548.2109375,13268.4755859375,18541.7109375,10620.9599609375,12931.7509765625,16120.8994140625,13667.3984375,13369.8525390625,12764.634765625,14788.154296875,6603.896484375,6096.1474609375,6394.8642578125,9784.8955078125,13572.8271484375,16445.09375,16894.76953125,11652.2080078125
8,135.27861814398,210.50642814402,"[C4H5O2]-",85.0295,"C4H6O2_M-H; C4H8O3_M-H2O-H",21482.55078125,24218.419921875,NA,20928.38671875,646465.3125,650458.1875,616261.8125,683077.8125,693987.125,694807.9375,663233.625,650263.75,675669.75,657277,614815.0625,676056.375,612590.8125,615111.5,640246.6875,668062.4375,648956.875,684667.8125,620873.8125,734017.25,648182.125,605507.4375,550893.4375,512868.90625,583424.75,665473.3125,678311.25,682479.6875,601668.9375,695093.3125,692566.375,636968.0625,669603.5,628742.4375,655913.5625,772209.625,620523.5625,674817.1875,615690.0625,643038.5625,638216.9375,593692.9375,534910.5625,548707.25,715365,648406.1875,677545.375,662926.75,602505.9375,638230.1875,587608.0625,619043.3125,673954.4375
9,210.50642814402,225.453302736,"[C4H5O2]-",85.0295,"C4H6O2_M-H; C4H8O3_M-H2O-H",13147.5185546875,11396.208984375,NA,14709.8427734375,71435.0546875,86948.4140625,71439.7578125,72990.0546875,80830.703125,74903.0703125,76385.4296875,71675.15625,71368.1328125,83814.390625,75119.5390625,74524.1328125,73807.8515625,88503.9609375,69160.25,85794.9296875,82381.25,71232.7890625,73611.1328125,70401.3984375,67091.625,79551.3125,62214.046875,66901.4921875,73166.59375,61935.97265625,71710.875,85356.6796875,67069.0859375,84961.140625,77986.671875,104204.5390625,73872.484375,73497.015625,81204.546875,87382.4453125,94649.6953125,75024.8828125,77313.9296875,70981.078125,91824.9609375,63773.91015625,72462.09375,64952.18359375,79423.53125,74229.78125,77078.46875,69457.046875,69050.078125,72770.234375,66632.1171875,36476.9453125,76539.921875
10,86.77629260802,105.922733376,"[C4H5O2]-",85.0295,"C4H6O2_M-H; C4H8O3_M-H2O-H",24082.978515625,19187.345703125,NA,15970.7431640625,56557.86328125,45936.25,50294.7734375,68803.921875,43679.34375,74343.8203125,71362.171875,62754.8671875,57076.5234375,56831.38671875,48122.46484375,51175.12109375,41660.51953125,44340.140625,39473.81640625,45507.94140625,56285.08203125,51732.90234375,48824.15625,52674.6875,48491.87109375,44134.859375,42911.6171875,49990.75,55361.25,82664.75,76133.21875,49730.00390625,53851.828125,53455.9921875,55552.01953125,46266.90625,54485.75390625,61270.0390625,55951.21484375,32545.552734375,42900.078125,64428.1484375,50994.35546875,46768.78125,43168.21875,38466.0234375,48091.3203125,45122.97265625,41238.171875,40269.48828125,50873.4609375,53003.05078125,55151.1953125,53021.19921875,48822.6171875,61857.09375,56974.953125
