"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
1,49.606648752,71.93137248,"[C6H9]+",81.06988,"C6H8_M+H",43411.85546875,57646.4375,NA,27383.3203125,104143.453125,95023.90625,115651.375,93596.9453125,107824.7109375,104825.3046875,132896.65625,103725.0625,134069.484375,135188,167548.484375,128916.7734375,146523.328125,181806.84375,82387.65625,162171.6875,170424.4375,148933,81693.1796875,110753.25,96864.1953125,112892.9921875,127533.0546875,139475.953125,104507.78125,101471.6015625,53507.76953125,39322.78125,45597.96484375,86085.6796875,134126.6875,126871.9921875,100527.96875,280928.125,84189.6015625,158358.46875,137519.5625,42521.921875,73048.1015625,102925.3359375,61842.53125,200087.5,168258.5,42086.765625,87270.0546875,96946.6015625,128575.890625,77329.0078125,102298.3984375,62464.5390625,110280.4453125,141067.84375,80754
2,149.642857142857,178.214285714286,"[C4H6N2]+",82.05255,"C4H5N2_M+H",9274.9189453125,10390.744140625,NA,5664.5927734375,54390.0078125,53630.51953125,57521.296875,51000.86328125,49774.5234375,50729.36328125,48758.54296875,46554.375,51802.43359375,54091.48828125,54867.25,47568.91796875,50579.28125,49927.89453125,112125.1796875,126353.5859375,89077.71875,82243.9921875,107880.2109375,98027.65625,116698.78125,73802.2109375,70395.890625,59863.5390625,70809.578125,74279.1484375,90106.234375,78017.3203125,95850.5703125,67276.3125,56945.5625,57920.984375,47758.07421875,86652.8359375,75869.328125,115344.203125,96584.4375,51894.9453125,66504.78125,51359.078125,63935.3515625,81351.09375,61678.21875,81506.0078125,66404.4765625,84764.7734375,88253.9140625,65680.4609375,72892.328125,50813.68359375,57656.84765625,57991.16796875,50529.30078125
3,178.214285714286,206.785714285714,"[C4H6N2]+",82.05255,"C4H5N2_M+H",9274.9189453125,10390.744140625,NA,5664.5927734375,44414.57421875,43619.55078125,52344.54296875,43786.1953125,42386.4453125,49170.70703125,40894.6328125,42116.46875,46689.140625,38733.01953125,39261,39755.53515625,36348.96875,45712.19140625,91129.7734375,93441.328125,78500.1875,68456.2890625,86227.21875,78435.28125,88715.609375,51770.02734375,58359.78515625,59863.5390625,57534.7109375,61105.75,67191.40625,58436.640625,65043.79296875,59369.6015625,53717.05859375,57920.984375,44776.66015625,67326.84375,60488.96484375,88822.546875,63802.66015625,48117.296875,55870.59765625,46070.71484375,47149.46875,63793.546875,54107.953125,61433.94921875,62027.5625,69978.2578125,66178.671875,53097.97265625,54130.671875,46340.86328125,52906.6171875,43228.86328125,41285.02734375
4,121.071428571429,149.642857142857,"[C4H6N2]+",82.05255,"C4H5N2_M+H",9151.9970703125,8860.9345703125,NA,5641.4140625,54390.0078125,53630.51953125,47192.984375,51000.86328125,49774.5234375,50729.36328125,48758.54296875,42732.6328125,51802.43359375,54091.48828125,50483.9140625,47568.91796875,50579.28125,49927.89453125,112125.1796875,126353.5859375,89077.71875,82243.9921875,104055.2109375,98027.65625,112219.015625,73802.2109375,70395.890625,57113.87890625,69088.1171875,74279.1484375,90106.234375,78017.3203125,95850.5703125,67276.3125,56111.55859375,56221.359375,47758.07421875,86652.8359375,75869.328125,115344.203125,96584.4375,51894.9453125,66504.78125,51359.078125,63935.3515625,81351.09375,61678.21875,81506.0078125,65845.859375,84764.7734375,88253.9140625,63568.9375,67037.3984375,50813.68359375,57656.84765625,56174.4296875,50529.30078125
5,206.785714285714,235.357142857143,"[C4H6N2]+",82.05255,"C4H5N2_M+H",7462.74609375,6798.021484375,NA,5261.486328125,36751.484375,39265.72265625,34138.70703125,31611.578125,36270.36328125,33756.98828125,32461.732421875,28850.2578125,34968.6484375,32885.72265625,33257.47265625,30421.759765625,28780.912109375,32516.12890625,70093.6875,65975.0703125,50982.66796875,57155.4140625,61193.2890625,53203.234375,61986.26171875,44169.1640625,42073.74609375,39580.62109375,46149.83203125,48575.72265625,52005.92578125,52771.8359375,44974.4921875,43745.77734375,49824.22265625,38547.6171875,37397.01171875,51146.921875,45353.5703125,63798.92578125,59465.57421875,36404.0625,42269.625,35470.328125,42717.1953125,48130.7421875,42679.43359375,48383.421875,42574.390625,49991.52734375,50302.2421875,39380.70703125,46624.62890625,34773.77734375,35441.8515625,37058.22265625,36593.97265625
6,235.357142857143,263.928571428571,"[C4H6N2]+",82.05255,"C4H5N2_M+H",8111.00341796875,6772.00634765625,NA,6538.00439453125,34527.35546875,34883.37109375,31379.685546875,34374.08203125,30102.03125,33739.984375,30016.73828125,26957.642578125,29292.255859375,25732.4375,29699.29296875,26398.41015625,28780.912109375,27278.560546875,49427.46484375,54313.3828125,41460.16015625,47848.12109375,55962.61328125,40914.72265625,52150.79296875,34847.9609375,37180.62109375,32803.97265625,34948.39453125,34618.01171875,43511.625,37723.47265625,35858.83984375,33531.23046875,35507.359375,30040.42578125,29503.068359375,39411.55859375,34377.6796875,51336.50390625,42018.44140625,30135.58203125,40658.94140625,26384.4375,39622.01953125,47357.0859375,34400.22265625,36336.25,35481.14453125,36504.83984375,43826.515625,33922.69140625,40738.5390625,28716.958984375,29595.4765625,30376.1171875,28207.28515625
7,263.928571428571,292.5,"[C4H6N2]+",82.05255,"C4H5N2_M+H",7422.91650390625,7231.5986328125,NA,3580.29565429688,34527.35546875,30068.498046875,19592.35546875,34374.08203125,28611.591796875,26539.240234375,29380.880859375,25526.384765625,23647.27734375,13190.755859375,24631.095703125,27452.578125,21568.060546875,19915.9921875,16197.1796875,44387.875,30291.578125,38309.8359375,14576.6611328125,29731.939453125,43199.8203125,28826.654296875,37180.62109375,24164.587890625,16856.669921875,32569.74609375,34831.453125,37723.47265625,13842.3359375,30439.501953125,17372.619140625,12633.513671875,33520.3984375,15092.103515625,27464.78515625,40560.46875,32186.515625,30135.58203125,36782.37109375,23139.08203125,30750.078125,12293.9599609375,30185.4140625,29376.845703125,31534.078125,32443.7421875,33707.51953125,14658.953125,35215.93359375,23297.666015625,26327.373046875,22924.29296875,7196.9267578125
8,317.1480636,326.67226779198,"[C5H8N]+",82.06513,"C5H7N_M+H",5792.3837890625,4686.5361328125,NA,5097.40673828125,152903.453125,137140.890625,167199.65625,10596.380859375,144479.046875,146650.78125,124141.2109375,146051.28125,112107.859375,96693.984375,85985.078125,85525.296875,62820.421875,81343.2734375,140953.59375,237535.0625,11210.49609375,15500.4296875,213234.453125,103291.7734375,160258.828125,15468.671875,98943.0546875,74499.6484375,92677.96875,76849.765625,165563.203125,142165.5,92581.28125,7822.46875,114607.3984375,99589.5703125,102221.4140625,110011.109375,84381.3359375,239286.84375,9461.4111328125,6458.4384765625,239965.15625,82208.0625,189150.734375,138306,140574.546875,81695.0390625,172918.4375,82212.1015625,125497.359375,119723.4375,127779.359375,114743.2734375,11375.60546875,117507.296875,115363.9453125
11,154.218130608,187.68756702402,"[C4H7N2]+",83.06037,"C4H6N2_M+H",34804.08984375,33936.1015625,NA,26456.962890625,118080.5625,125032.65625,116420.8828125,123000.8984375,119851.7578125,122059.8359375,129934.875,121203.6015625,114955.578125,118304.1640625,125863.59375,117308.421875,121960.1875,114150.9140625,233793.109375,229414.671875,184104.34375,179032.640625,229335.203125,223541.234375,230036.359375,145770.921875,169932.21875,134768.640625,192919.328125,149823.0625,211559.1875,151775.515625,176419.546875,156122.671875,135618.296875,189833.921875,107645.4453125,203656.765625,163816.265625,255062.5,205805.8125,140355.359375,154258.140625,121495.46875,155052.15625,193662,175014.3125,245831.1875,148941.5,210249,194438.65625,165303.203125,174343.75,112284.25,118052.09375,127565.21875,119057.7421875
12,147.37640172798,154.218130608,"[C4H7N2]+",83.06037,"C4H6N2_M+H",34804.08984375,33936.1015625,NA,26456.962890625,118080.5625,125032.65625,116420.8828125,123000.8984375,119851.7578125,122059.8359375,129934.875,121203.6015625,114955.578125,118304.1640625,125863.59375,117308.421875,121960.1875,114150.9140625,233793.109375,229414.671875,184104.34375,179032.640625,229335.203125,223541.234375,230036.359375,145770.921875,169932.21875,134768.640625,192919.328125,149823.0625,211559.1875,151775.515625,176419.546875,156122.671875,123757.9140625,115576.90625,107645.4453125,203656.765625,163816.265625,255062.5,205805.8125,140355.359375,154258.140625,121495.46875,155052.15625,193662,175014.3125,245831.1875,148941.5,210249,194438.65625,165303.203125,174343.75,112021.078125,118052.09375,127565.21875,119057.7421875
13,126.863242848,147.37640172798,"[C4H7N2]+",83.06037,"C4H6N2_M+H",34804.08984375,35296.3125,NA,27861.388671875,113872.4609375,125032.65625,116420.8828125,123000.8984375,119851.7578125,122059.8359375,129934.875,121203.6015625,114955.578125,118304.1640625,125863.59375,116487.140625,121960.1875,114150.9140625,233793.109375,229414.671875,184104.34375,179032.640625,229335.203125,223541.234375,230036.359375,145770.921875,169932.21875,134768.640625,192919.328125,149823.0625,211559.1875,151775.515625,176419.546875,156122.671875,123757.9140625,114017.203125,107645.4453125,203656.765625,163816.265625,255062.5,205805.8125,140355.359375,154258.140625,121495.46875,155052.15625,185197.25,175014.3125,239525.21875,148941.5,210249,188403.4375,165303.203125,174343.75,110564.0546875,115349,127565.21875,116411.640625
14,187.68756702402,213.24494497602,"[C4H7N2]+",83.06037,"C4H6N2_M+H",30591.5390625,30430.087890625,NA,26199.1953125,101098.75,88367.4375,90644.40625,93665.625,91626.375,93495.3046875,87577.890625,82754.953125,87844.6953125,79995.015625,86813.1015625,85141.8046875,83508.484375,95841.1796875,149612.328125,167449,132031.59375,122146.1640625,153231.4375,139874.546875,167127.75,108976.390625,121384.234375,103226.0625,115241.109375,111450.1640625,136185.890625,116473.03125,114324.5234375,112202.1484375,107105.8984375,108930.2421875,88211.125,133805.265625,110534.0390625,182052.9375,125874.5546875,102133.3515625,104401.0390625,89756.1171875,114510.078125,127609.9375,115122.78125,140765.65625,114747.8046875,122682.6953125,116629.1171875,105828.1328125,118441.0390625,95287.6171875,95887.5390625,89577.8671875,89386.96875
