Name;KEGG_ID;Suero_C01_08;Suero_C02;Suero_C03;Suero_C04;Suero_C05;Suero_C06;Suero_C07;Suero_P1_V1;Suero_P1_V3_5;Suero_P1_V4;Suero_P1_V6;Suero_P2_V1;Suero_P2_V3_5;Suero_P2_V4;Suero_P2_V6;Suero_P3_V1;Suero_P3_V3_5;Suero_P3_V4;Suero_P3_V6;Suero_P4_V1;Suero_P4_V3_5;Suero_P4_V4;Suero_P4_V6;Suero_P5_V1;Suero_P5_V3_5;Suero_P5_V4;Suero_P5_V6;Suero_P6_V1;Suero_P6_V3_5;Suero_P6_V4;Suero_P6_V6;Suero_P7_V1;Suero_P7_V3_5;Suero_P7_V4;Suero_P7_V6;Suero_P8_V1;Suero_P8_V3_5;Suero_P8_V4;Suero_P8_V6
Unknown;NA;287709.5;201324;442730.4;548101;613598.4;553835.4;460501.6;439153;364263;414163;349377;486422;538070;503939;286394;648741;772202.9;500284;403945;308441;6126.46;241989;266722.3;354703.7;596781;558475;286360;14673.43;440931;234968;291757;525831;600924;633392;593444;385096;326969;414326;281282
Alpha-Tocopherol;C02477;5734786;8220300;5532305;3651958;4381184;5846104;6012396;6855390;4753777;6620086;6322490;7121627;5548720;8671930;5337202;8859266;9718149;10280269;10651638;6612096;325560.7;3266415;6750071;6632115;5515245;8012288;6489176;470058.9;3513325;5624876;6993210;8836820;8289869;8488284;9315587;9625154;9506741;9821560;9616923
Amoxicillin;C06827;676849;242145;546576;380198;225778;315808.3;352350;185236.5;374457;432522.2;343950;406292;526569;618915;348661.8;367553.3;349833;73874.69;239830.1;198319;118607;75239.58;193962.7;584499.3;1118441;165193.7;331306.5;318580.1;186715;437094;520573;172600;338892;286068.5;331625.3;174492;575665;374044;198998.2
Gamma-Aminobutyric acid;C00334;304896;354976;385384;236711;528066.7;305488;695844;428622;244974;394687;211662;255862.7;192907;243568;222383.5;262570;382190;313253;263914;262567;134417.5;166559;228619;191765;271488.6;234048.5;203324;133723.7;228381;278010;228964;350183;288928;345508;368182;312520.6;294758;363494.9;181918.3
Citric acid;C00158;14133941;33970447;19898982;17669989;30693550;13870663;23628269;10898230;14640895;8651382;15842101;10039869;8165406;15764723;14830858;9190329;9482242;6750023;7739479;18854729;688996;10046577;13037770;11022755;6809337;13016490;6797540;307515;21428434;15869143;18261509;10617856;12569022;15894448;15327294;7004501;8957934;6999915;8055394
D-Glucose;C00221;779176185;736026390;801644880;923801524;868283065;933975317;760955004;870344632;633925023;565399908;589844441;961091272;907438222;917370507;604522847;831494857;1009245595;1042870841;1163510080;789823680;38701856;314598117;749250953;802530519;624690823;450772147;723278375;11490269;777175016;573676510;1195282948;794720366;720517523;800333503;989392819;802021407;821859268;923486933;1084063768
Glycine;C00037;7523950;10353094;5832600;5672187;9804306;5126367;7264805;4363306;5443879;4255200;5651669;5323395;7612645;6227139;5205607;4609306;4067869;6186182;5118216;7202158;261379.2;3457671;5891014;5025079;5072364;16633147;5937628;367324.7;7608260;7361529;8917811;4490343;5422119;6118985;4421506;7614972;7080124;5087179;6722418
Indolelactic acid;C02043;269701;309065;317506;371748;403675;255024;239789;238872;200609;177288;125246;138649;109533.8;2862171;120533;352897;394014;426876;285392;213960;52529.29;93266.93;213230;209478;240036;416368;296075;9394.619;170500.3;100689.3;170894;201039;191497;190180;189265;144545;166439.3;152774;180699
Inosine;C00294;45235;22829.59;34600.55;111467;17743.16;87844;45468.57;28804.01;119090;99141.92;36574.29;323433;266390;183982;292671.4;313346;306743;68170;154457;378436;16733.14;71406.58;273301;114356;33207.05;59576.89;56861;27678.31;10194.4;147678;650089;241473;107978;72621.44;242033;23655.21;269488;160735;28003.85
myo-Inositol;C00137;8684652;5937240.3;5436161;6492804;8006274;6356315;7690647;4841646;5778007;5047073;4201198;7654436;4331007;5252568;4242115;4604896;6394632;5337826;5181008;6198254;231348.97;2463180.3;4984629;3061007;3878916;4444848;3593240;102614.71;5297941;3760745;4549551;5955558;5749743;6345527;7273874;3948356;6780151;3630958;5804029
