Gene	DK18007.28.09.sorted.bam	DK18007.28.10.sorted.bam	DK18007.28.11.sorted.bam	DK18007.28.12.sorted.bam	DK18007.28.13.sorted.bam	DK18007.28.14.sorted.bam
DDX11L1	2	7	5	13	2	8
WASH7P	555	317	370	587	510	697
MIR1302-10	2	2	2	3	3	3
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
RP11-34P13.7	1	0	3	3	0	3
RP11-34P13.8	0	0	0	0	0	0
CICP27	15	13	7	12	19	14
AL627309.1	155	94	140	190	112	107
RP11-34P13.15	22	5	12	31	8	10
RP11-34P13.16	0	0	0	0	0	0
RP11-34P13.14	10	6	7	12	7	8
RP11-34P13.13	132	27	54	101	40	42
RNU6-1100P	0	0	0	0	0	0
RP11-34P13.9	0	0	1	0	0	0
AP006222.2	7	6	10	10	16	12
AP006222.1	0	0	0	0	0	0
RP4-669L17.10	300	187	189	334	237	133
RP4-669L17.8	54	19	37	44	63	11
CICP7	10	6	11	7	5	8
RP4-669L17.4	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
WBP1LP7	0	0	0	0	0	1
AL732372.1	0	0	0	1	0	0
RP4-669L17.2	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0
RP4-669L17.1	7	6	5	6	2	5
RP5-857K21.1	1	0	0	2	0	2
RP5-857K21.2	1	0	0	0	0	1
RP5-857K21.3	1	0	0	0	0	0
RP5-857K21.4	7	2	2	5	4	3
RP5-857K21.5	0	0	0	0	0	0
MTND1P23	2224	4641	2832	3133	5349	4498
MTND2P28	5619	13005	7015	11859	14155	12653
hsa-mir-6723	31263	100094	56742	50937	70339	84641
RP5-857K21.7	2633	8658	4311	5839	8154	7490
MTATP8P1	25	43	26	22	20	28
MTATP6P1	9096	21343	13701	17984	24338	20645
RP5-857K21.11	7957	19927	12277	14514	22482	15594
WBP1LP6	0	0	0	0	0	0
OR4F16	2	0	0	0	0	0
CICP3	9	5	8	12	10	8
RP11-206L10.1	167	90	147	198	108	86
RP11-206L10.3	80	31	39	72	29	41
RNU6-1199P	0	0	0	0	0	0
RP11-206L10.5	13	1	10	13	3	3
RP11-206L10.4	0	0	0	0	0	0
RP11-206L10.2	46	22	25	57	24	32
RP11-206L10.9	117	64	36	96	37	85
RP11-206L10.8	4	1	1	4	1	1
AL669831.1	0	1	0	0	1	0
RP11-206L10.10	0	0	0	0	0	0
FAM87B	9	2	1	3	2	4
LINC00115	40	23	22	28	17	42
LINC01128	225	182	178	136	162	166
FAM41C	6	2	2	3	2	1
TUBB8P11	2	0	0	0	0	1
AL645608.2	0	0	0	0	0	0
RP11-54O7.16	1	4	2	9	3	6
RP11-54O7.1	27	8	13	34	10	44
RP11-54O7.2	1	0	0	0	0	0
RP11-54O7.3	18	7	14	22	9	25
SAMD11	2	0	0	1	0	4
AL645608.1	0	0	0	0	0	0
NOC2L	1203	1524	962	1254	893	933
KLHL17	551	455	455	684	582	873
PLEKHN1	0	0	1	1	0	1
C1orf170	0	0	0	0	0	0
RP11-54O7.17	57	56	211	228	77	565
HES4	681	894	1846	1583	640	2333
RP11-54O7.10	8	1	8	8	2	16
RP11-54O7.11	18	19	26	24	8	54
ISG15	89	194	129	123	41	131
AGRN	12755	11898	13611	20335	8498	15190
RP11-54O7.14	0	0	0	0	0	0
RP11-465B22.3	7	6	5	15	4	10
RP11-54O7.18	1	1	0	2	0	0
RNF223	0	0	0	0	0	0
C1orf159	380	368	301	440	320	400
RP11-465B22.5	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0
TTLL10-AS1	1	1	0	1	0	1
TTLL10	6	1	1	2	3	1
TNFRSF18	2	1	0	0	5	1
TNFRSF4	1	0	0	1	1	0
SDF4	3152	2874	2245	3110	2525	2053
B3GALT6	923	1104	916	927	765	458
FAM132A	13	11	11	13	18	14
RP5-902P8.12	5	7	6	4	0	5
UBE2J2	766	912	747	831	887	701
RP5-902P8.10	6	16	4	6	9	16
SCNN1D	90	96	93	91	96	185
ACAP3	1635	1260	1897	1912	1881	2267
PUSL1	90	138	82	135	120	99
CPSF3L	1948	1920	1600	2008	1726	2214
RP5-890O3.9	81	65	59	84	44	101
GLTPD1	204	220	163	207	245	109
TAS1R3	13	10	6	13	15	9
DVL1	946	1119	861	1204	978	1109
MXRA8	818	798	137	641	356	695
AURKAIP1	590	841	611	648	852	475
RP5-890O3.3	1	0	1	3	1	2
CCNL2	9102	6929	4895	7755	6400	9602
RP4-758J18.2	323	354	266	347	361	315
MRPL20	545	586	406	487	564	405
RN7SL657P	0	0	0	0	0	0
RP4-758J18.13	104	99	67	134	92	110
ANKRD65	67	56	28	40	67	58
RP4-758J18.7	7	2	0	6	5	4
TMEM88B	14	10	8	11	14	7
RP4-758J18.10	2	3	2	1	3	4
VWA1	566	660	358	701	542	403
ATAD3C	66	85	58	61	65	65
ATAD3B	860	826	604	1017	807	976
ATAD3A	779	884	636	862	821	644
TMEM240	62	61	52	81	47	44
SSU72	957	1067	1021	967	913	680
AL645728.2	0	0	0	0	0	0
AL645728.1	5	7	9	15	10	2
AL645728.3	0	0	0	0	0	0
C1orf233	58	52	49	86	106	28
RP11-345P4.9	167	159	107	124	103	121
MIB2	809	772	859	856	952	1023
MMP23B	10	8	10	19	7	14
CDK11B	744	743	748	742	779	731
RP11-345P4.10	7	1	1	1	0	2
SLC35E2B	2587	2947	2075	2724	2415	2134
RP11-345P4.7	52	45	52	66	69	80
RP11-345P4.6	20	20	13	22	22	39
MMP23A	6	15	8	19	2	5
