Gene,CNT38,CNT48,CNT56,IPD12,IPD13,IPD28
43160,11.02714,9.911763576,9.606353333,14.14776833,8.414037667,9.914836667
43161,2.044087,2.053296006,2.4004446,2.1633486,1.6856836,2.039735318
43162,0.594334,1.33429,0.671813,2.64266,1.06233,1.25001
43163,0,0.137931,0.0982091,0.0314363,0.0776485,0.345504
43164,18.5422,16.7146,13.7979,24.6587,17.4975,18.8049
43165,33.028459,21.81885267,25.37330767,39.33040367,23.02662933,26.41408333
43166,7.4427585,6.740467507,6.8334775,11.62984249,8.57439875,8.54456
43167,1.944763459,1.84454898,1.787402133,2.766998333,1.541253349,2.392576
43168,11.2364,11.53,10.187,12.7158,8.24164,11.7214
43169,0,0.012239975,0.009130075,0,0,0
43170,0.230862,0.354511,0.220364,2.91321,0.243922,0.596944
43344,0.891847,0.823496,0.972092,0.442402,0.974685,1.45868
43345,5.590474286,6.571819022,5.20635276,8.42825872,6.865171037,8.152407375
43346,13.76272,13.788595,10.4936,15.117435,13.1164,24.12905
43347,0.241103889,0.131473889,0.564919111,0.110571556,0.211147556,0.292098222
43348,6.620795,4.82521,5.4965575,4.560905,2.422134,4.783039
43349,4.7298275,7.1940075,3.738961,9.1080675,7.6652105,6.22697
43350,10.085998,12.73438733,9.109363333,19.33145033,14.268153,12.646961
43351,5.018416833,4.094864,5.745547,5.55711951,3.953876167,6.451741667
43352,11.74411773,13.64452719,9.896503911,10.90952818,11.56283896,10.94785819
43353,1.495291369,1.404944978,1.149430432,2.244462656,1.771369693,1.767863165
43354,21.966505,28.322715,18.49225,28.748895,25.491147,30.16192
43355,0,0.0694785,0.0259127,0.058062,0.02048775,0.0319067
43357,1.30701,1.78498,0.998168,1.81185,0.960928,1.45614
43435,0,0,0,0,0,0
A1BG,3.39498,2.66351,3.75832,2.56583,2.29497,4.8989
A1CF,0.026270724,0.012650044,0.021788754,0.019517691,0.012056631,0.021449295
A2M,6.70E-06,0.481772,0.02672355,0.1869315,0.74479,0.01645255
A2ML1,0.0623405,0.03040865,0.0509385,0.02811165,0.0332727,0
A2MP1,0,0,0,0.0693448,0,0
A3GALT2,0.0797578,0.068042,0,0.255877,0.0601927,0
A4GALT,0.79939,0.793305695,0.295873207,1.01187528,0.233930691,0.076697553
A4GNT,0,0.0346022,0,0,0,0
AAAS,29.859445,29.907035,24.565545,37.37959,25.826705,24.4179435
AACS,4.06723,4.337343333,2.95194,5.609603333,4.456943333,7.073286667
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0
