Metabolite	AZ2_hNESC_ctrl_39_1	AZ2_hNESC_ctrl_39_2	AZ2_hNESC_ctrl_39_3	AZ2_hNESC_ctrl_48_1	AZ2_hNESC_ctrl_48_2	AZ2_hNESC_ctrl_48_3	AZ2_hNESC_ctrl_56_1	AZ2_hNESC_ctrl_56_2	AZ2_hNESC_ctrl_56_3	AZ2_hNESC_iPD_12_1	AZ2_hNESC_iPD_12_2	AZ2_hNESC_iPD_12_3	AZ2_hNESC_iPD_13_1	AZ2_hNESC_iPD_13_2	AZ2_hNESC_iPD_13_3	AZ2_hNESC_iPD_2490_1	AZ2_hNESC_iPD_2490_2	AZ2_hNESC_iPD_2490_3	AZ2_hNESC_iPD_28_1	AZ2_hNESC_iPD_28_2	AZ2_hNESC_iPD_28_3	AZ2_hNESC_iPD_30c2_1	AZ2_hNESC_iPD_30c2_2	AZ2_hNESC_iPD_30c2_3	AZ2_hNESC_iPD_30c9_1	AZ2_hNESC_iPD_30c9_2	AZ2_hNESC_iPD_30c9_3
meso-Erythritol	0.017125718	0.024156612	0.022521807	0.042572433	0.037599787	0.034238775	0.044734436	0.045022108	0.048464287	0.012958276	0.031234366	0.032722278	0.02969433	0.026458334	0.024384769	0.049742575	0.039987493	0.043031464	0.049004941	0.035779043	0.038768278	0.033013871	0.032435105	0.028845754	0.025150693	0.021756773	0.025156995
Valine	0.471196774	0.497541086	0.760656483	1.839901258	1.662783443	0.951173947	1.016459341	0.765717315	0.882137836	0.4434794	0.715088123	1.084233339	1.108551381	0.793736864	0.762295145	1.947740703	1.469388739	0.83620229	0.658668743	1.250895858	0.765419847	0.705338728	0.805990412	0.621029526	0.733756913	0.818287686	0.54188848
Uridine_monophosphate	0.478672213	0.544410374	0.80964933	2.143277744	1.824284458	0.974206157	1.226757792	1.126883448	1.250474983	0.448763508	0.869403311	1.150053621	1.169169162	0.819515569	0.79434093	2.757359224	1.820484856	1.096120801	1.136214951	1.76562202	0.956026345	0.876349022	1.175915899	0.85259678	0.827764119	0.913100533	0.611169749
Urea	0.016733756	0.021119231	0.024476275	0	0.052058739	0.032383822	0.029951038	0.025842476	0.027190947	0.0151245	0.022607537	0.035953223	0.031149327	0.025034109	0.023546727	0.053910418	0.050919633	0.02657592	0.022403168	0.035410409	0.027449951	0.02526962	0.029712967	0.023776723	0.025220251	0.029634468	0.025430892
Tyrosine	0.403379854	0.52082251	0.718098229	1.984397283	1.692604075	0.961129945	1.065869218	0.815236492	0.926982748	0.337082553	0.7028186	1.058921365	1.142996308	0.740180372	0.723938124	2.281777535	1.59565511	0.911321382	0.731316267	1.321344899	0.771812416	0.751122936	0.872150199	0.654146778	0.741776524	0.805101171	0.501094083
Thymine	0.004430618	0.006755438	0.002872189	0.014589406	0.008177922	0.003747826	0.012716643	0.010023259	0.010019719	0.002620976	0.00859273	0.00845961	0.00691216	0.005415073	0.00416283	0.010131609	0.010057433	0.012635545	0.012134016	0.008918036	0.008209543	0.008575129	0.008975481	0.007141719	0.002499962	0.006135382	0.006706875
Threonine	1.914205519	1.828436109	2.233071675	4.540684916	3.588342176	2.953316474	2.853276839	2.237544765	2.439606484	1.443439383	2.037773959	2.273581643	2.635225182	1.897271525	1.745930056	5.186260495	3.601762761	2.920607711	3.31685945	2.944235831	2.647601289	3.088508279	3.124148573	2.641344889	3.064979181	2.74168384	2.513963416
Threonic_acid	0.047029318	0.059540516	0.087698547	0.178169401	0.174749202	0.115744763	0.103714551	0.097046863	0.119750748	0.040707601	0.089209042	0.13792938	0.102800447	0.081526879	0.087109389	0.211120234	0.179139258	0.122150544	0.093123336	0.135032252	0.101272835	0.088302816	0.1126659	0.10583162	0.073567105	0.087673161	0.066480164
Taurine	0.0626781	0.102381255	0.083826557	0.204482786	0.243587963	0.12345806	0.158281778	0.131516134	0.174531736	0.012970767	0.13779323	0.096691845	0.123865188	0.095456491	0.087849283	0.244378735	0.168370977	0.147055884	0.181418702	0.13761339	0.115163799	0.151879732	0.156653045	0.153578377	0.14089829	0.120830681	0.104593356
Sucrose	0.011751873	0.0010572	0.016253024	0.063814599	0.004666468	0.081907143	0.019582992	0.055458917	0	0.012153037	0.014990394	0	0.021861739	0.121330413	0	0.048561867	0	0	0.039904669	0.078579542	0	0.014636167	0.0215496	0.020094013	0.016185181	0.011686757	0.027070818
