,CTRL_39,CTRL_48,CTRL_56,IPD_12,IPD_13,IPD_28
C18_(N-Octadecane),0.003132171,0.007312603,0.00427973,0.020693095,0.00715018,0.014626289
Cholesterol_1TMS,0.033131698,0.050556128,0.044886535,0.04077061,0.039427848,0.046934984
Glycerol-3-phosphate_4TMS,0.005652528,0.007434987,0.007239473,0.009768564,0.009370837,0.010881427
Glycerol_3TMS,0.019152912,0.023965649,0.020271238,0.035737129,0.024478915,0.028296999
Hexadecanoic_acid_(1TMS),0.870534488,0.942280904,0.868591005,1.043882034,0.936488343,0.822619038
No match: 1093.80_AZ_extrBlank_NP_1_322,0.013535314,0.014331786,0.013794447,0.012406781,0.005116687,0.007064991
No match: 1101.72_AZ_extrBlank_NP_1_191,0.021195667,0.032351037,0.039081772,0.032849532,0.146579226,0.117777366
No match: 1104.89_AZ_extrBlank_NP_1_312,0.162883566,0.156280137,0.173976694,0.264494545,0.1960154,0.165320315
No match: 1113.93_AZ_extrBlank_NP_1_292,0.001211027,0.001026099,0.001087689,0.000998204,5.78E-05,0.000463149
No match: 1116.98_AZ_hNESC_iPD_13_NP_1_2,0.003409623,0.004032224,0.003684116,0.004697783,0.00166881,0.002422018
No match: 1117.22_AZ_hNESC_ctrl_39_NP_1_14,0.001377368,0.001625612,0.001441812,0.002162178,0.001383749,0.001271903
No match: 1119.55_AZ_hNESC_iPD_30c2_NP_1_427,0.006423793,0.006247875,0.006978089,0.008166987,0.001319191,0.001627668
No match: 1127.44_AZ_hNESC_iPD_2490_NP_1,0.006352852,0.008559617,0.005216307,0.010770375,0.004396169,0.003587633
No match: 1129.49_AZ_hNESC_iPD_13_NP_1_490,0.002222017,0.004008125,0.003381264,0.004317693,0.00348912,0.004000813
No match: 1135.63_AZ_extrBlank_NP_1_190,0.012880327,0.057603726,0.02758212,0.017555688,0.006145567,0.01016426
No match: 1139.92_AZ_extrBlank_NP_1_243,0.003823568,0.002753975,0.005038394,0.004389294,0.004336533,0.003400482
No match: 1140.02_AZ_hNESC_iPD_12_NP_1_219,0.003823568,0.002753975,0.005038394,0.004389294,0.004336533,0.003400482
No match: 1142.35_AZ_hNESC_ctrl_56_NP_1_239,0.006490608,0.005924267,0.004901522,0.005204079,0.000997308,0.00316173
No match: 1146.11_AZ_hNESC_ctrl_39_NP_1_9,0.005524273,0.007665626,0.005401106,0.007745804,0.004888125,0.005168314
No match: 1150.30_AZ_extrBlank_NP_1_332,0.018574203,0.018720435,0.021065889,0.010349437,0.007116105,0.0084221
No match: 1160.21_AZ_extrBlank_NP_1_226,0.002103051,0.002014521,0.001772247,0.001146186,0.000304523,0.001007076
No match: 1170.98_AZ_hNESC_iPD_30c2_NP_1_463,0.001762076,0.002415123,0.002055112,0.002999749,0.002020724,0.001848477
No match: 1178.48_AZ_extrBlank_NP_1_229,0.001828885,0.002301459,0.002009661,0.002519733,0.001424705,0.001221585
No match: 1194.39_AZ_extrBlank_NP_1_321,0.002171007,0.002525636,0.001590512,0.004049491,0.00209333,0.001934748
No match: 1195.30_AZ_hNESC_ctrl_48_NP_1_531,0.002822278,0.007791365,0.006662375,0.005941077,0.007860774,0.00508706
No match: 1197.62_AZ_hNESC_iPD_28_NP_1_430,0.002135257,0.003252778,0.002502157,0.003232305,0.002782304,0.003330074
No match: 1200.40_AZ_extrBlank_NP_1_206,0.00397864,0.00435031,0.003759464,0.006440028,0.003738698,0.003120112
No match: 1205.28_AZ_hNESC_ctrl_56_NP_1_470,0.002346225,0.00197714,0.002830085,0.001705434,0.002025241,0.002196726
No match: 1210.54_AZ_extrBlank_NP_1_203,0.00303743,0.003213351,0.003014038,0.002274402,0.001677971,0.002008509
No match: 1215.94_AZ_extrBlank_NP_1_244,0.003401413,0.003750495,0.004289293,0.002714399,0.000509617,0.001692051
No match: 1223.30_AZ_extrBlank_NP_1_267,0.00373401,0.004241104,0.004538169,0.00679713,0.004858284,0.003775302
No match: 1225.90_AZ_extrBlank_NP_1_200,0.009223367,0.011467079,0.010768904,0.015535507,0.01096787,0.009622209
No match: 1235.24_AZ_hNESC_ctrl_39_NP_1_491,0.009580924,0.01829951,0.014663074,0.013084578,0.011210549,0.008753965
