CTRL_1	CTRL_2	CTRL_3	IPD_1	IPD_2	IPD_3
meso-Erythritol	0.022521807	0.037599787	0.045022108	0.031234366	0.026458334	0.038768278
Valine	0.497541086	1.662783443	0.882137836	0.715088123	0.793736864	0.765419847
Uridine_monophosphate	0.544410374	1.824284458	1.226757792	0.869403311	0.819515569	1.136214951
Urea	0.021119231	0.032383822	0.027190947	0.022607537	0.025034109	0.027449951
Tyrosine	0.52082251	1.692604075	0.926982748	0.7028186	0.740180372	0.771812416
Thymine	0.004430618	0.008177922	0.010023259	0.00845961	0.005415073	0.008918036
Threonine	1.914205519	3.588342176	2.439606484	2.037773959	1.897271525	2.944235831
Threonic_acid	0.059540516	0.174749202	0.103714551	0.089209042	0.087109389	0.101272835
Taurine	0.083826557	0.204482786	0.158281778	0.096691845	0.095456491	0.13761339
Sucrose	0.011751873	0.063814599	0.019582992	0.012153037	0.021861739	0.039904669
Serine	1.436027459	2.946426133	2.021557249	1.649122883	1.479964467	2.380302837
Ribose	0.029575643	0.058070412	0.031645001	0.029427791	0.035289195	0.035607922
Ribose-5-phosphate	0.038747577	0.134839742	0.087583353	0.06111835	0.036185111	0.087617796
Pyrophosphate	0.206479151	0.805418758	1.765209847	0.580228941	0.467106479	1.378381605
Pyroglutamic_acid	2.66601241	4.830061002	5.573588089	4.090227267	3.646331488	5.331917855
2,3-Pyridinedicarboxylic_acid	1.901409293	2.244655068	1.659642581	1.245799444	1.473090736	1.27030109
Putrescine	0.826555026	2.271324445	1.651116674	1.150773418	1.014225905	1.472661279
Proline	0.522890578	1.707262991	1.141206357	0.801234386	0.740349271	1.182912836
Phosphoric_acid	14.60844455	17.26631905	21.25638014	17.57292378	15.2198973	8.120841808
Phenylalanine	0.376544289	1.184135209	0.66686275	0.524383643	0.552363249	0.585328004
Pantothenic_acid	0.281249988	0.500084615	0.453918166	0.299067219	0.261768799	0.395450867
Oxalic_acid	0.066187084	0.160041205	0.105538382	0.168341516	0.086084569	0.081449054
Ornithine	0.00790152	0.002975461	0.012516069	0.010517361	0.009929674	0.004244337
Norleucine	0.330371901	0.789786324	1.052617383	0.486753933	0.418944122	0.900940897
N-acetylputrescine	0.240984983	0.838132724	0.520831386	0.40651088	0.393900884	0.404754705
N-Carboxy-L-lysine	0.098073965	0.563081614	0.196331195	0.156334844	0.186747072	0.131965273
N-Carboxy-L-glutamic_acid	0.006953471	0.005107016	0.007999725	0.003399377	0.008138932	0.009850054
N-Acetylaspartylglutamic_acid	0.024168888	0.128562307	0.045169606	0.042465166	0.026353105	0.043985808
N-Acetyl-glucosamine	0.115227638	0.407388918	0.171766176	0.148449494	0.211253279	0.125085667
N-Acetyl-L-aspartic_acid	0.417233656	0.826170078	0.612941442	0.598246891	0.356388196	0.642228688
Myo-inositol	2.852843903	6.534480058	8.417875958	5.400543543	4.78161284	6.126539715
Methyl-a-D-mannopyranoside	0.140064971	0.185196891	0.168835765	0.16116172	0.191098558	0.132102343
Methionine	0.094959931	0.332339239	0.182676254	0.128367756	0.126491001	0.16869438
Mannose	0.039996046	0.124259723	0.054219866	0.045095323	0.055498125	0.081673949
Maltose	0.008465135	0.136939038	0.027544572	0.006104602	0.001748382	0.045638367
Malonic_acid	0.034490539	0.02533378	0.0195767	0.017185002	0.019886175	0.021764387
Malic_acid	0.160554386	0.222990137	0.389885456	0.237572502	0.223167671	0.391752758
Lysine	0.622523311	2.050364098	1.177483411	0.873018131	0.93458932	0.899215673
Leucine	0.1366645	0.446359748	0.232497167	0.188576277	0.214896239	0.203737481
