Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
meso-Erythritol,Erythritol,HMDB0002994,222285,C00503,OC[C@H](O)[C@H](O)CO,1
Valine,L-Valine,HMDB0000883,6287,C00183,CC(C)[C@H](N)C(O)=O,1
Uridine_monophosphate,Uridine 5'-monophosphate,HMDB0000288,6030,C00105,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1
Urea,Urea,HMDB0000294,1176,C00086,NC(N)=O,1
Tyrosine,L-Tyrosine,HMDB0000158,6057,C00082,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
Thymine,Thymine,HMDB0000262,1135,C00178,CC1=CNC(=O)NC1=O,1
Threonine,L-Threonine,HMDB0000167,6288,C00188,C[C@@H](O)[C@H](N)C(O)=O,1
Threonic_acid,Threonic acid,HMDB0000943,5460407,C01620,OC[C@H](O)[C@@H](O)C(O)=O,1
Taurine,Taurine,HMDB0000251,1123,C00245,NCCS(O)(=O)=O,1
Sucrose,Sucrose,HMDB0000258,5988,C00089,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1
Serine,Serine,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O,1
Ribose,D-Ribose,HMDB0000283,5779,C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,1
Ribose-5-phosphate,D-Ribose 5-phosphate,HMDB0001548,440101,C00117,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Pyrophosphate,Pyrophosphate,HMDB0000250,1023,C00013,OP(O)(=O)OP(O)(O)=O,1
Pyroglutamic_acid,Pyroglutamic acid,HMDB0000267,7405,C01879,OC(=O)[C@@H]1CCC(=O)N1,1
"2,3-Pyridinedicarboxylic_acid",NA,NA,NA,C03722,NA,0
Putrescine,Putrescine,HMDB0001414,1045,C00134,NCCCCN,1
Proline,Proline,HMDB0000162,145742,C00148,OC(=O)[C@@H]1CCCN1,1
Phosphoric_acid,NA,NA,NA,NA,NA,0
Phenylalanine,Phenylalanine,HMDB0000159,6140,C00079,N[C@@H](CC1=CC=CC=C1)C(O)=O,1
Pantothenic_acid,Pantothenic acid,HMDB0000210,6613,C00864,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1
Oxalic_acid,NA,NA,NA,NA,NA,0
Ornithine,Ornithine,HMDB0000214,6262,C00077,NCCC[C@H](N)C(O)=O,1
Norleucine,L-Norleucine,HMDB0001645,21236,C01933,CCCC[C@H](N)C(O)=O,1
N-acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,C02714,CC(=O)NCCCCN,1
N-Carboxy-L-lysine,NA,NA,NA,NA,NA,0
N-Carboxy-L-glutamic_acid,NA,NA,NA,C00025,NA,0
N-Acetylaspartylglutamic_acid,N-Acetylaspartylglutamic acid,HMDB0001067,188803,C12270,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1
N-Acetyl-glucosamine,N-Acetyl-glucosamine 1-phosphate,HMDB0001367,440272,C04501,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O,1
N-Acetyl-L-aspartic_acid,N-Acetyl-L-aspartic acid,HMDB0000812,65065,C01042,CC(=O)N[C@@H](CC(O)=O)C(O)=O,1
Myo-inositol,myo-Inositol,HMDB0000211,NA,C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,1
Methyl-a-D-mannopyranoside,NA,NA,NA,NA,NA,0
Methionine,Methionine,HMDB0000696,6137,C00073,CSCC[C@H](N)C(O)=O,1
Mannose,D-Mannose,HMDB0000169,185698,C00159,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,1
Maltose,D-Maltose,HMDB0000163,10991489,C00208,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1
Malonic_acid,NA,NA,NA,NA,NA,0
Malic_acid,Malic acid,HMDB0000156,222656,C00149,O[C@@H](CC(O)=O)C(O)=O,1
Lysine,Lysine,HMDB0000182,5962,C00047,NCCCC[C@H](N)C(O)=O,1
Leucine,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1
Lactic_acid,Lactic acid,HMDB0000190,107689,C00186,C[C@H](O)C(O)=O,1
Isoleucine,Isoleucine,HMDB0000172,6306,C00407,CC[C@H](C)[C@H](N)C(O)=O,1
Glycolic_acid,Glycolic acid,HMDB0000115,757,C03547,OCC(O)=O,1
Glycolic_acid-2-phosphate,Phosphoglycolic acid,HMDB0000816,529,C00988,OC(=O)COP(O)(O)=O,1
Glycine,Glycine,HMDB0000123,750,C00037,NCC(O)=O,1
Glycerol,Glycerol,HMDB0000131,753,C00116,OCC(O)CO,1
Glycerol-3-phosphate,Glycerol 3-phosphate,HMDB0000126,439162,C00093,OC[C@@H](O)COP(O)(O)=O,1
