Gene ID	GeneCard Gene ID	Gene Symbol	Type	log2 (siGM312 / siNC12)	Pvalue(siGM312 / siNC12)	Qvalue (siGM312 / siNC12)	siNC_1 FPKM	siNC_2 FPKM	siST3_1 FPKM	siST3_2 FPKM	siNC_1 TPM	siNC_2 TPM	siST3_1 TPM	siST3_2 TPM
10000	10000	'AKT3'	mRNA	0.527211697	2.34E-05	4.65E-04	21.34	21.84	35.35	31.56	49.14	48.16	83.34	72.45
10013	10013	'HDAC6'	mRNA	0.861334709	2.16E-07	7.33E-06	4.65	4.88	9.24	8.81	10.7	10.76	21.79	20.22
100131897	100131897	'INSYN2B'	mRNA	1.029673478	2.81E-06	7.12E-05	1.46	1.48	3.4	2.83	3.37	3.27	8.01	6.49
100132406	100132406	'NBPF10'	mRNA	0.456010158	5.07E-04	0.006597833	14.44	15.85	19.53	23.24	33.25	34.95	46.04	53.34
10018	10018	'BCL2L11'	mRNA	1.243237235	0.003354796	0.031342388	0.45	0.31	0.92	0.73	1.03	0.67	2.16	1.69
10019	10019	'SH2B3'	mRNA	0.563000271	8.76E-06	1.96E-04	18.98	17.51	25.96	28.92	43.7	38.62	61.19	66.4
10024	10024	'TROAP'	mRNA	-1.52302427	0.002797417	0.026973081	1.88	4.18	0.72	2.45	4.32	9.22	1.71	5.62
100288142	100288142	'NBPF20'	mRNA	0.406541387	0.002558978	0.02522798	2.69	2.56	3.59	3.58	6.19	5.65	8.47	8.22
100288695	100288695	'LIMS4'	mRNA	0.98135041	8.29E-06	1.87E-04	5.24	6.13	12.62	12.09	12.06	13.53	29.74	27.75
10042	10042	'HMGXB4'	mRNA	-0.604634948	5.91E-04	0.007521214	7.15	7.29	4.56	5.15	16.47	16.07	10.76	11.83
100506144	100506144	'TMEM35B'	mRNA	-0.917903317	3.38E-04	0.004727834	24.89	33.18	11.89	19.66	57.31	73.16	28.03	45.13
100507421	100507421	'TMEM178B'	mRNA	-1.782330474	7.08E-13	6.05E-11	2.48	1.91	0.76	0.56	5.71	4.22	1.8	1.29
10054	10054	'UBA2'	mRNA	-0.557797284	5.85E-05	0.001043117	26.25	29.36	19.4	20.04	60.45	64.75	45.74	46.01
10061	10061	'ABCF2'	mRNA	-0.535055662	6.51E-04	0.008153989	8.86	8.58	6.03	6.37	20.4	18.91	14.23	14.63
10063	10063	'COX17'	mRNA	0.796978946	0.002820877	0.027150945	39.95	43.6	68.18	80.15	91.98	96.14	160.74	184
100653049	100653049	'LOC100653049'	mRNA	-1.945356017	8.41E-17	1.08E-14	14.64	12.11	3.4	3.76	33.71	26.71	8.03	8.62
10066	10066	'SCAMP2'	mRNA	-0.768448011	1.27E-05	2.70E-04	29.07	28.47	14.28	20.44	66.94	62.78	33.66	46.92
10079	10079	'ATP9A'	mRNA	0.469046532	1.10E-04	0.001836889	12.43	11.63	17.86	16.83	28.62	25.65	42.12	38.63
1009	1009	'CDH11'	mRNA	-0.573279095	3.40E-06	8.43E-05	164.77	153.05	102.77	116.36	379.36	337.49	242.29	267.11
10092	10092	'ARPC5'	mRNA	-0.493485999	0.001150589	0.013062484	41.98	43.25	26.15	36.08	96.65	95.38	61.64	82.82
10098	10098	'TSPAN5'	mRNA	0.52216354	4.93E-05	8.95E-04	19.23	20.67	29.33	29.69	44.29	45.57	69.14	68.15
10106	10106	'CTDSP2'	mRNA	-0.526015888	6.87E-06	1.59E-04	40.48	40.71	28.19	30	93.2	89.78	66.46	68.88
10111	10111	'RAD50'	mRNA	-0.41600297	7.61E-04	0.009231106	13.02	13.18	9.94	10.29	29.99	29.07	23.44	23.63
10112	10112	'KIF20A'	mRNA	-1.131511508	3.05E-05	5.85E-04	4.47	3.52	1.65	2.11	10.3	7.77	3.89	4.84
10113	10113	'PREB'	mRNA	-0.797457638	6.68E-05	0.001178793	20.84	17.71	9.31	13.46	47.98	39.05	21.95	30.91
10123	10123	'ARL4C'	mRNA	0.689624508	1.77E-08	7.51E-07	19.11	20.2	32.75	32.6	44	44.54	77.22	74.84
10124	10124	'ARL4A'	mRNA	-1.079471888	3.66E-05	6.89E-04	4.42	4.54	1.84	2.52	10.17	10.01	4.34	5.79
10129	10129	'FRY'	mRNA	-0.496180265	8.89E-04	0.010481214	3.64	3.54	2.8	2.46	8.37	7.82	6.61	5.64
10135	10135	'NAMPT'	mRNA	0.754539899	2.38E-08	9.86E-07	35.76	46.21	74.31	68.21	82.32	101.89	175.2	156.59
10140	10140	'TOB1'	mRNA	-0.438708383	0.005987573	0.049380757	16.25	17.24	13.02	12.45	37.41	38.01	30.69	28.58
10146	10146	'G3BP1'	mRNA	-1.783006565	4.47E-52	6.05E-49	25.92	26.46	8.33	7.37	59.67	58.35	19.64	16.92
10147	10147	'SUGP2'	mRNA	0.565597027	2.66E-06	6.79E-05	14.79	15.26	21.91	22.5	34.06	33.66	51.65	51.65
10157	10157	'AASS'	mRNA	-0.496767803	0.004108953	0.036680309	4.98	4.81	3.87	3.29	11.46	10.6	9.13	7.56
10162	10162	'LPCAT3'	mRNA	-1.847313148	1.45E-20	2.98E-18	14.21	13.05	3.97	3.88	32.72	28.78	9.35	8.91
10163	10163	'WASF2'	mRNA	-0.734009232	2.24E-07	7.58E-06	29.36	27.99	15.75	19.72	67.61	61.71	37.13	45.28
1017	1017	'CDK2'	mRNA	-0.891321585	8.34E-04	0.009990409	6.27	4.9	2.77	3.42	14.43	10.79	6.52	7.85
10174	10174	'SORBS3'	mRNA	-0.443720507	0.002023967	0.020730135	58.3	45.76	42.28	38.85	134.23	100.9	99.69	89.18
10184	10184	'LHFPL2'	mRNA	0.89065362	1.24E-14	1.30E-12	43.05	47.93	91.93	82.28	99.11	105.69	216.73	188.87
1019	1019	'CDK4'	mRNA	-2.938218709	6.05E-85	1.97E-81	54.71	57.77	7.77	7.38	125.96	127.39	18.31	16.94
