TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
C00022	0.000339426447331648	0.00118314144799914	0.000244515323604477	0.0027858236823245	0.0018790701034086	0.0022070872903488	0.0107059686685196	0.00245650970186773	0.00349332951801862	0.0133516968475923	0.00569156268185222	8.01094702385097e-06	4.60495120192528e-05	0.00505096830781604	0.000118340082815083	0.000897829213326817	0.0417217886087482	0.00170925594652394	0.050406850497048	0.0038196791393893	0.027017145013069	0.352282312527202	0.0109045335037279	0.0726161831695922	0.00549467230439382	0.00377747579400844	0.017931018999759	0.124704647976082	0.00477687581975039	1.22603136132327e-06	0.0535541997752913	0.0122646766474408	0.00696103440009044	0.0023156581814987	0.0445580462366709	0.00579883637482947	0.00405073432271419	0.00998220612837775	0.00275403681776365	0.244278548278981
C05345	0.00074027174461555	0.000468301111173686	0.000256475082001995	0.00193392893220545	0.00253909165077937	0.000645763457027382	0.00287517605963616	0.0011408240363584	0.00233990215129865	0.00118026883192657	0.00279118615278129	0.000191364272436823	9.63499165590465e-05	0.00138043051909109	5.68506253184609e-08	0.000871032313776055	0.00135065197969253	0.000684974992823717	0.00959986260684287	0.000630061350970212	0.0128592901349537	0.0226389994640335	0.00103178269329696	0.0529084571175851	1.03622750680099e-06	0.00148185670505241	0.0149075449367156	0.000818119249821225	0.00151983860427907	0.000120197963843882	0.00429169961139619	0.0141173689145879	0.00152312500617457	0.00253186583973908	0.0082303507980872	0.0011175857851462	0.000815489500714639	0.00116010454220838	0.0181204180748852	0.142258095772643
R02739	0.00120052584213157	0.00675548779214426	0.000360953024954037	0.0271046866830953	0.543986707610385	0.106300230314951	0.0707675122469106	0.00560011264009701	0.225736566564848	0.207760855325106	0.0135751222182207	0.658282546661601	4.5647069159647e-05	0.0595963095599319	3.02626733774532e-05	0.0121122936444068	0.413103283651148	0.00109169366544855	0.103822990630235	0.121162723241879	0.145038509712368	0.073677077813603	0.00409407998835595	0.0487818156399793	0.0486124563376246	0.0186446688562581	0.0945148527808696	0.352679499319932	0.00798796572719591	4.66451544056667e-14	0.292811562496015	0.0077973570192775	0.00362846063963586	0.00266730424100996	6.08652989224329e-07	0.0135974668257093	0.0238295273292052	0.016332080139586	0.00274412583889129	0.0888541021061753
C00199	0.19462664880496	0.130383050481816	0.14599584896827	0.244253867343713	0.608295041016735	0.297443508753382	0.316362939037926	0.177790419136916	0.287772096786998	0.46572474323431	0.158317948919336	0.919153543701161	0.0970435561656219	0.296546994408227	0.0942338077871921	0.255725482281492	0.51149137577023	0.176117850868334	0.26702173131948	0.392525398370149	0.497248316245935	0.0283436930236469	0.192739500529282	0.281597345315049	0.286798880598249	0.110781175019528	0.213866255298434	0.318829242084804	0.061246489709201	0.109705029540298	0.199575113137448	0.337248982709663	0.100464433212562	0.21081845288162	9.27107684545181e-06	0.131000552229425	0.111415660821941	0.239109063714942	0.134481605838316	0.142303264735489
C00117	0.158360344408986	0.360857433736455	0.176193224680838	0.429546819374842	0.706283305437948	0.532859036824703	0.479191863734651	0.295184315119833	0.652020482769631	0.594452774919436	0.349470291265809	0.995079254957005	0.106951510644897	0.44845745051108	0.145220627338484	0.294520320254045	0.715169524943527	0.130172429021996	0.68861366945087	0.569512428456102	0.53097531956768	0.512470907528066	0.126080255783387	0.344004589943185	0.512286475386317	0.30240489233786	0.394932711121943	0.468113702269157	0.234204587020975	1.07930922260691e-05	0.7645358470488	0.318013976617506	0.160265275958607	0.149273369233975	0.237690110542278	0.321564578945321	0.474772788691198	0.106970184474128	0.182734327107753	0.452148191375378
R00342,R00361	0.000468627792823243	0.0027174487190862	0.000662106000553958	0.00697706813586379	0.372883193266167	0.0112428814238664	0.0228627281540318	0.000868116461989831	0.306957448375172	0.015767542381164	0.00183781630517601	0.219393024680229	0.00016863674328665	0.00819041206590611	0.000208804825696782	0.00508928110274899	0.162023950490753	0.00100284813428281	0.0419290353617721	0.0824948638676067	0.0017036068124406	0.00602462934901985	0.00433193976768927	0.0168788023052608	0.00111198921134067	0.0113002278594246	0.00481936370400492	0.0875251141194135	0.00319046494054193	3.58575746143981e-08	0.0149695485567966	5.2343241931111e-07	0.00204130528765274	0.00180059532834588	0.00131946560070355	0.00312772440240039	0.00916236417264785	0.000935759683706097	0.00326536031325036	0.0386605360425607
C00026	0.038519104445722	0.0817439457375821	0.0423253775245157	0.226453705635823	0.575476255217126	0.151813990136124	0.257917049745952	0.0537323592107881	0.703394393313034	0.278538329928893	0.0861466145371443	0.674030584001374	0.0149852888944055	0.15628656311959	0.0144201328449217	0.137582279133728	0.564288853768448	0.0546843003362878	0.213362882565988	0.46476040465809	0.107720364904652	0.426609333744409	0.0633941747105825	0.173973279271773	0.0327900594906514	0.0663422725529288	0.113087624586041	0.278994167015058	0.0646590481843069	3.49430243862248e-06	0.0716221790277183	0.10249212558857	0.070369521413018	0.010014668070528	0.0276185269344473	0.04738141382646	0.0498297609792004	0.0473168593516295	0.0689103825819476	0.216029839680162
C00036	0.0103916013187791	0.0276142449213052	0.0130254126687398	0.0239064625236554	0.438686507603871	0.0551926111649619	0.0688818320502456	0.0141771368923648	0.348548326474062	0.0365902977217926	0.0183867034505791	0.241728649260538	0.00966433246333942	0.0429405702615413	0.0112248743144803	0.029830821990991	0.198993652514924	0.0156521563578849	0.142861774058709	0.12672211293816	0.014355139388444	0.0133473340084831	0.0611914598767124	0.0860609534968326	0.0339118644172445	0.165042958070793	0.033451715634165	0.217165842686624	0.0470883932363858	0.0102614309780736	0.199507580652456	4.26644270246079e-06	0.0228266497736973	0.153524045666074	0.0403337876502738	0.0640796798463383	0.163255308563224	0.0166707620381189	0.0382822518317268	0.172695502322764
C00024	0.0777180762219385	0.0502755282984935	0.0699966224187465	0.169631904226536	0.35188566459895	0.0498256856604286	0.112681704200321	0.0350912488903061	0.446511291214762	0.0693227038507697	0.0441741499569063	0.30463974902392	0.0544039421905891	0.0681354455340584	0.0409896923753001	0.0859095124596466	0.20280049678367	0.034062380887163	0.0843990059663282	0.307147622605106	0.00245841353175791	0.0111113966615612	0.0577755036007125	0.0121575241622137	0.0127902667464758	0.0932039716920422	8.35003749433127e-06	0.126562988843579	0.0598052497965064	0.0132250719428509	0.0013206395637585	6.5732763676607e-10	0.0128528785764037	0.0140344763281866	0.0101786513518168	0.0151587866511198	0.0871991745103797	0.0035664271778435	0.0192106448718011	0.00290792921549921
C00231	5.79590189546675e-05	5.17864508715604e-05	0.000395361858582133	0.000166532677144615	1.32000442913949e-05	0.000158648779896686	0.000196751779468651	0.000697815815754788	4.86253535214587e-08	0.000229497652680766	0.000233550334524879	6.58109874041024e-06	0.00020047570271875	0.000333403974514868	0.000126271731669458	0.000207330925800719	4.61275598387934e-05	0.000276092034360631	2.20210319978875e-07	4.70907199523474e-05	2.57488835494479e-05	9.45326067425256e-08	0.00601293201335984	0.00126211775742779	0.00103504649872377	0.00609425410299758	0.00886702740796597	0.00619913796546567	0.00414678863847806	4.97059771120689e-08	0.000430697063332985	1.57706366299415e-07	0.000359851457593763	0.000614403652015705	0.000271647003998954	0.000561291078873483	0.000135158379164446	0.0127448293851289	1.7781850993881e-06	0.000304926812421447
