Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
C02165,Leukotriene B4,HMDB0001085,5280492,C02165,CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O,1
C14776,8-HETE,HMDB0004679,5283154,C14776,CCCCC\C=C/C\C=C/C=C/[C@@H](O)C\C=C/CCCC(O)=O,1
C15493,9-cis-Retinoic acid,HMDB0002369,449171,C15493,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,1
C14767,alpha-Dimorphecolic acid,HMDB0004670,5312830,C14767,CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O,1
C14762,13-HODE,HMDB0004667,6443013,C14762,CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O,1
C00338,LPS with O-antigen,HMDB0013470,53481793,C00338,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP(O)(O)=O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@@]2(C[C@@H](O[C@@]3(C[C@@H](O[C@@]4(C[C@@H](OP(O)(=O)OCCN)[C@H](O)[C@H](O4)[C@@H](O)CO)C(O)=O)[C@H](O)[C@H](O3)[C@@H](O)CO)C(O)=O)[C@H](OC3O[C@H]([C@@H](O)CO)[C@@H](OP(O)(=O)OP(O)(=O)OCCN)[C@H](OC4O[C@H]([C@@H](O)COC5O[C@H]([C@@H](O)CO)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](OC5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6OC6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8NC(C)=O)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O[C@H]9O[C@H](CO[C@H]%10O[C@H](CO)[C@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H](O)[C@H]9O)[C@H]8NC(C)=O)[C@H]7NC(C)=O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@H](O2)[C@@H](O)CO)C(O)=O)[C@H]1OP(O)(O)=O,1
C00165,NA,NA,NA,NA,NA,0
C00575,Cyclic AMP,HMDB0000058,6076,C00575,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
C05981,"Phosphatidylinositol-3,4,5-trisphosphate",HMDB0004249,NA,C05981,CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O,1
C00076,Calcium,HMDB0000464,271,C00076,[Ca++],1
C01245,"myo-Inositol 1,4,5-trisphosphate",HMDB0001498,439456,C01245,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O,1
C01330,Sodium,HMDB0000588,923,C01330,[Na+],1
C00002,Adenosine triphosphate,HMDB0000538,5957,C00002,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
C00004,NADH,HMDB0001487,439153,C00004,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
C13051,NA,NA,NA,NA,NA,0
C06124,Sphingosine 1-phosphate,HMDB0000277,5283560,C06124,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O,1
C00533,Nitric oxide,HMDB0003378,145068,C00533,[N]=O,1
C00942,Cyclic GMP,HMDB0001314,24316,C00942,NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1,1
C16003,NA,NA,NA,NA,NA,0
C16004,NA,NA,NA,NA,NA,0
C16005,NA,NA,NA,NA,NA,0
