entrezgene_id	ensembl_gene_id_version
100132463	ENSG00000185758.9
100533105	ENSG00000288602.1
10242	ENSG00000275163.1
102800317	ENSG00000283900.1
10368	ENSG00000006116.4
10599	ENSG00000134538.3
10798	ENSG00000167825.3
10850	ENSG00000213927.4
116519	ENSG00000110243.12
1179	ENSG00000016490.16
119678	ENSG00000176787.2
119679	ENSG00000205495.1
119682	ENSG00000176798.3
119687	ENSG00000176895.9
119694	ENSG00000176925.8
119695	ENSG00000279270.2
119749	ENSG00000185926.1
119765	ENSG00000175619.3
119772	ENSG00000197790.1
119774	ENSG00000181963.5
120066	ENSG00000182334.3
120793	ENSG00000183389.5
120796	ENSG00000180934.7
121129	ENSG00000179615.3
121364	ENSG00000179919.3
122740	ENSG00000169484.4
122742	ENSG00000176246.1
122748	ENSG00000176219.3
124538	ENSG00000255713.2
125958	ENSG00000174667.4
125962	ENSG00000161807.3
125963	ENSG00000170929.6
126370	ENSG00000094661.3
126541	ENSG00000176231.2
127059	ENSG00000162727.3
127062	ENSG00000228198.3
127066	ENSG00000177174.1
127068	ENSG00000183310.3
127069	ENSG00000184022.4
127124	ENSG00000151418.12
127385	ENSG00000184155.8
128360	ENSG00000186306.1
128367	ENSG00000279111.2
130075	ENSG00000258083.2
135941	ENSG00000221938.5
135946	ENSG00000221813.4
138799	ENSG00000277556.1
138802	ENSG00000186943.1
138804	ENSG00000148136.5
138805	ENSG00000186881.3
1392	ENSG00000147571.5
1394	ENSG00000263715.7
143496	ENSG00000221996.6
1442	ENSG00000136488.15
1443	ENSG00000213218.11
1585	ENSG00000179142.2
1816	ENSG00000169676.6
200909	ENSG00000186090.11
2158	ENSG00000101981.12
2165	ENSG00000143278.5
2168	ENSG00000163586.10
219417	ENSG00000172199.1
219428	ENSG00000279514.2
219429	ENSG00000172188.6
219431	ENSG00000174982.4
219436	ENSG00000186113.1
219437	ENSG00000279395.3
219447	ENSG00000181785.3
219453	ENSG00000181752.3
219477	ENSG00000172487.4
219479	ENSG00000279961.2
219482	ENSG00000174937.5
219870	ENSG00000236981.1
219954	ENSG00000172377.3
219956	ENSG00000186509.4
219960	ENSG00000180475.4
219965	ENSG00000197786.3
219986	ENSG00000176200.1
2248	ENSG00000186895.4
2249	ENSG00000075388.4
23439	ENSG00000101892.12
2488	ENSG00000131808.11
2492	ENSG00000170820.12
2520	ENSG00000184502.4
254973	ENSG00000136939.1
2554	ENSG00000022355.18
2559	ENSG00000145863.11
256148	ENSG00000176555.1
2566	ENSG00000113327.17
26188	ENSG00000221888.4
26189	ENSG00000172150.4
26219	ENSG00000239590.1
26246	ENSG00000203663.4
26285	ENSG00000156282.5
26291	ENSG00000105550.10
26338	ENSG00000205030.1
26339	ENSG00000232382.2
2641	ENSG00000115263.15
26476	ENSG00000196184.10
26492	ENSG00000181214.8
26493	ENSG00000197125.3
26529	ENSG00000280236.3
26532	ENSG00000171936.3
26533	ENSG00000169208.3
26534	ENSG00000255582.1
26658	ENSG00000127529.7
26683	ENSG00000230178.1
26696	ENSG00000175143.5
26707	ENSG00000204700.5
26737	ENSG00000173679.2
26740	ENSG00000197233.7
2688	ENSG00000259384.7
2689	ENSG00000136487.18
2693	ENSG00000121853.4
2695	ENSG00000159224.4
2712	ENSG00000196475.6
2792	ENSG00000127928.13
2812	ENSG00000203618.6
2815	ENSG00000169704.5
28234	ENSG00000111700.13
282616	ENSG00000183709.8
282770	ENSG00000174970.5
282775	ENSG00000174957.1
283092	ENSG00000258817.1
283093	ENSG00000221954.2
283111	ENSG00000176742.3
283159	ENSG00000196341.3
283189	ENSG00000172457.7
283297	ENSG00000170782.3
283365	ENSG00000188324.4
284383	ENSG00000181733.4
285242	ENSG00000186038.9
285659	ENSG00000182613.3
286362	ENSG00000136839.1
2998	ENSG00000111713.3
30814	ENSG00000188784.4
3170	ENSG00000125798.15
3350	ENSG00000178394.5
3354	ENSG00000168830.8
3358	ENSG00000147246.10
336	ENSG00000158874.11
3361	ENSG00000157219.5
3375	ENSG00000121351.8
338662	ENSG00000181518.4
338674	ENSG00000149133.1
338751	ENSG00000183313.4
340980	ENSG00000187747.2
341152	ENSG00000171561.4
341416	ENSG00000179695.3
341418	ENSG00000179626.4
341799	ENSG00000181803.3
343173	ENSG00000196539.3
343563	ENSG00000203661.4
3439	ENSG00000197919.6
3440	ENSG00000188379.7
3444	ENSG00000214042.1
3445	ENSG00000120242.4
3446	ENSG00000186803.3
3448	ENSG00000228083.3
3449	ENSG00000147885.4
345	ENSG00000110245.12
3451	ENSG00000234829.4
3452	ENSG00000137080.4
345456	ENSG00000196570.3
3456	ENSG00000171855.7
346562	ENSG00000214415.4
347168	ENSG00000136834.3
3562	ENSG00000164399.5
3578	ENSG00000145839.2
3605	ENSG00000112115.7
3630	ENSG00000254647.7
3651	ENSG00000139515.6
3761	ENSG00000168135.4
3827	ENSG00000113889.14
387748	ENSG00000181023.8
390038	ENSG00000197428.3
390054	ENSG00000171944.2
390058	ENSG00000176239.7
390059	ENSG00000184698.5
390061	ENSG00000167360.6
390063	ENSG00000167359.8
390066	ENSG00000181609.5
390075	ENSG00000181009.5
390078	ENSG00000205409.3
390113	ENSG00000176567.1
390142	ENSG00000279761.2
390144	ENSG00000205029.1
390148	ENSG00000187612.1
390151	ENSG00000181767.3
390152	ENSG00000181761.5
390154	ENSG00000172489.7
390162	ENSG00000150269.1
390174	ENSG00000174914.3
390195	ENSG00000176495.3
390197	ENSG00000254466.2
390199	ENSG00000172742.6
390201	ENSG00000172289.3
390265	ENSG00000182634.9
390275	ENSG00000196119.8
390321	ENSG00000205330.4
390326	ENSG00000185821.3
390327	ENSG00000184954.4
390429	ENSG00000176294.6
390431	ENSG00000165762.3
390433	ENSG00000176253.4
390436	ENSG00000176230.7
390648	ENSG00000184140.6
390649	ENSG00000182854.8
390883	ENSG00000170920.2
390892	ENSG00000127515.3
391107	ENSG00000180708.6
391114	ENSG00000203757.2
391189	ENSG00000197591.3
391190	ENSG00000279263.1
391191	ENSG00000187080.10
391195	ENSG00000177212.4
391196	ENSG00000177186.3
392138	ENSG00000221933.3
392376	ENSG00000276119.1
392390	ENSG00000171459.4
392391	ENSG00000148215.4
392392	ENSG00000165204.3
401665	ENSG00000176900.2
401667	ENSG00000205496.1
401993	ENSG00000203661.4
403257	ENSG00000260811.3
