"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00002","Adenosine triphosphate","HMDB0000538","5957","C00002","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00022","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(O)=O","1"
"C00026","Oxoglutaric acid","HMDB0000208","51","C00026","OC(=O)CCC(=O)C(O)=O","1"
"C00042","Succinic acid","HMDB0000254","1110","C00042","OC(=O)CCC(O)=O","1"
"C00122","Fumaric acid","HMDB0000134","444972","C00122","OC(=O)\C=C\C(O)=O","1"
"C00130","Inosinic acid","HMDB0000175","8582","C00130","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"C00195","Cer(d18:1/12:0)","HMDB0004947","5283562","C00195","[H][C@@](CO)(NC(=O)CCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"C00334","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"C00410","Progesterone","HMDB0001830","5994","C00410","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"C00762","Cortisone","HMDB0002802","222786","C00762","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"C00788","Epinephrine","HMDB0000068","5816","C00788","CNC[C@H](O)C1=CC(O)=C(O)C=C1","1"
"C01598","Melatonin","HMDB0001389","896","C01598","COC1=CC2=C(NC=C2CCNC(C)=O)C=C1","1"
"C01673","Calcitriol","HMDB0001903","5280453","C01673","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C","1"
"C01780","Aldosterone","HMDB0000037","5839","C01780","[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O","1"
"C02465","Liothyronine","HMDB0000265","5920","C02465","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O","1"
