ID	name	label	UP/DOWN	statistic	p.value	FDRp.value	type
N-hsa03320-1	PPAR signaling pathway: Leukotriene B4	Leukotriene B4	UP	-8	1	1	compound
N-hsa03320-2	PPAR signaling pathway: C10AB fibrates	C10AB fibrates	UP	-8	1	1	compound
N-hsa03320-3	PPAR signaling pathway: S01BC Antiinflammatory agents, non-steroids	S01BC Antiinflammatory agents, non-steroids	UP	-8	1	1	compound
N-hsa03320-4	PPAR signaling pathway: 9-cis-Retinoic acid	9-cis-Retinoic acid	UP	-8	1	1	compound
N-hsa03320-5	PPAR signaling pathway: 9-cis-Retinoic acid*	9-cis-Retinoic acid*	UP	-8	1	1	compound
N-hsa03320-6	PPAR signaling pathway: S01BC Antiinflammatory agents, non-steroids*	S01BC Antiinflammatory agents, non-steroids*	UP	-8	1	1	compound
N-hsa03320-48	PPAR signaling pathway: 9(S)-HODE	9(S)-HODE	UP	-8	1	1	compound
N-hsa03320-49	PPAR signaling pathway: 9-cis-Retinoic acid**	9-cis-Retinoic acid**	UP	-8	1	1	compound
N-hsa03320-54	PPAR signaling pathway: A10BG Thiazolidinediones	A10BG Thiazolidinediones	UP	-8	1	1	compound
N-hsa03320-14 15	PPAR signaling pathway: PPARA RXRA	PPARA RXRA	DOWN	-12.8100812888238	2.12814337074859e-28	1.86008786532664e-27	gene
N-hsa03320-16 17	PPAR signaling pathway: PPARD RXRA	PPARD RXRA	UP	4.46779105428417	1.26755772687856e-05	2.29119704107529e-05	gene
N-hsa03320-18 19	PPAR signaling pathway: PPARG RXRA	PPARG RXRA	DOWN	-15.7835374453203	5.71110908140857e-38	1.15006059345228e-36	gene
N-hsa03320-37	PPAR signaling pathway: HMGCS2	HMGCS2	DOWN	-6.08422746988959	5.17716219791669e-09	1.25696112937599e-08	gene
N-hsa03320-61	PPAR signaling pathway: APOA1	APOA1	UP	3.24297114121939	0.00136800488448881	0.0019956548527983	gene
N-hsa03320-46	PPAR signaling pathway: APOA2	APOA2	UP	1.708736050545	0.0889186331165343	0.10798514333151	gene
N-hsa03320-57	PPAR signaling pathway: APOC3	APOC3	UP	1.68715603958005	0.0929991737151098	0.11177314383314	gene
N-hsa03320-47	PPAR signaling pathway: PLTP	PLTP	DOWN	-9.98897484126314	1.3490173248743e-19	6.64479996472856e-19	gene
N-hsa03320-55	PPAR signaling pathway: SCD	SCD	DOWN	-1.50908674109455	0.132720030531149	0.15542014977821	gene
N-hsa03320-56	PPAR signaling pathway: FADS2	FADS2	UP	6.30588261492843	1.5641637622632e-09	3.93403147063913e-09	gene
N-hsa03320-33	PPAR signaling pathway: CYP7A1	CYP7A1	DOWN	-14.4256394527292	1.36007621296553e-33	2.13795653680959e-32	gene
N-hsa03320-59	PPAR signaling pathway: NR1H3	NR1H3	DOWN	-8.05203873869975	5.19379314438037e-14	1.71512741172419e-13	gene
N-hsa03320-63	PPAR signaling pathway: DBI	DBI	UP	0.591855460819639	0.554558747711499	0.578302759079075	gene
N-hsa03320-44	PPAR signaling pathway: FABP1	FABP1	DOWN	-7.69713443327975	4.73898092860069e-13	1.47408382039563e-12	gene
N-hsa03320-36	PPAR signaling pathway: SLC27A4	SLC27A4	DOWN	-2.8350480847104	0.00501133468161765	0.00687440879521994	gene
N-hsa03320-30	PPAR signaling pathway: LPL	LPL	DOWN	-16.8553996997177	2.08595206082276e-41	6.20948627960861e-40	gene
N-hsa03320-28	PPAR signaling pathway: ACSL1	ACSL1	DOWN	-6.67191888368522	2.04116528009653e-10	5.41440398448336e-10	gene
N-hsa03320-25	PPAR signaling pathway: EHHADH	EHHADH	DOWN	-6.42556874298681	8.10210355973598e-10	2.05453342119725e-09	gene
N-hsa03320-21	PPAR signaling pathway: ACAA1	ACAA1	DOWN	-0.497307426602681	0.619471907108589	0.64208341322172	gene
N-hsa03320-20	PPAR signaling pathway: SCP2	SCP2	DOWN	-0.0293906625422331	0.976579824276826	0.978742299904392	gene
N-hsa03320-42	PPAR signaling pathway: ACOX1	ACOX1	DOWN	-0.110106986535128	0.912425504853455	0.921397240397736	gene
N-hsa03320-27	PPAR signaling pathway: CPT1C	CPT1C	UP	1.90144370172412	0.0585584798075369	0.0723120947042169	gene
N-hsa03320-26	PPAR signaling pathway: CPT2	CPT2	UP	5.57569368307344	7.22918056490203e-08	1.59606630744988e-07	gene
N-hsa03320-22	PPAR signaling pathway: ACADM	ACADM	DOWN	-4.13514626826601	5.05738601467445e-05	8.82321988177349e-05	gene
N-hsa03320-41	PPAR signaling pathway: ANGPTL4	ANGPTL4	DOWN	-12.1301612200082	3.11352336217487e-26	2.38033882850144e-25	gene
N-hsa03320-66	PPAR signaling pathway: UCP1	UCP1	DOWN	-6.95475964466379	4.03058636265461e-11	1.11725025491128e-10	gene
N-hsa03320-32	PPAR signaling pathway: FABP3	FABP3	DOWN	-1.04564417233592	0.296879748723282	0.326557124532821	gene
N-hsa03320-23	PPAR signaling pathway: ACADL	ACADL	DOWN	-17.5628411186731	1.16441682292519e-43	4.07678208117331e-42	gene
N-hsa03320-45	PPAR signaling pathway: PDPK1	PDPK1	UP	4.94972286021038	1.48338468489421e-06	2.94668485761384e-06	gene
N-hsa03320-31	PPAR signaling pathway: CD36	CD36	DOWN	-15.8853344722496	2.68730049952381e-38	5.55676029465292e-37	gene
N-hsa03320-29	PPAR signaling pathway: OLR1	OLR1	UP	15.8121600902404	4.62005265157043e-38	9.36472514440033e-37	gene
