ID	name	label	UP/DOWN	statistic	p.value	FDRp.value	type
N-hsa03320-1	PPAR signaling pathway: Leukotriene B4	Leukotriene B4	UP	-8	1	1	compound
N-hsa03320-2	PPAR signaling pathway: C10AB fibrates	C10AB fibrates	UP	-8	1	1	compound
N-hsa03320-3	PPAR signaling pathway: S01BC Antiinflammatory agents, non-steroids	S01BC Antiinflammatory agents, non-steroids	UP	-8	1	1	compound
N-hsa03320-4	PPAR signaling pathway: 9-cis-Retinoic acid	9-cis-Retinoic acid	UP	-8	1	1	compound
N-hsa03320-5	PPAR signaling pathway: 9-cis-Retinoic acid*	9-cis-Retinoic acid*	UP	-8	1	1	compound
N-hsa03320-6	PPAR signaling pathway: S01BC Antiinflammatory agents, non-steroids*	S01BC Antiinflammatory agents, non-steroids*	UP	-8	1	1	compound
N-hsa03320-48	PPAR signaling pathway: 9(S)-HODE	9(S)-HODE	UP	-8	1	1	compound
N-hsa03320-49	PPAR signaling pathway: 9-cis-Retinoic acid**	9-cis-Retinoic acid**	UP	-8	1	1	compound
N-hsa03320-54	PPAR signaling pathway: A10BG Thiazolidinediones	A10BG Thiazolidinediones	UP	-8	1	1	compound
N-hsa03320-14 15	PPAR signaling pathway: PPARA RXRA	PPARA RXRA	DOWN	-12.8092466259694	2.14726465272301e-28	1.88394379644142e-27	gene
N-hsa03320-16 17	PPAR signaling pathway: PPARD RXRA	PPARD RXRA	UP	4.46785718856588	1.2673077409254e-05	2.28786668130392e-05	gene
N-hsa03320-18 19	PPAR signaling pathway: PPARG RXRA	PPARG RXRA	DOWN	-15.78220220323	5.79589120812099e-38	1.1748991230057e-36	gene
N-hsa03320-37	PPAR signaling pathway: HMGCS2	HMGCS2	DOWN	-6.08365009269113	5.19447740320114e-09	1.26012293046761e-08	gene
N-hsa03320-61	PPAR signaling pathway: APOA1	APOA1	UP	3.24270936207312	0.0013692411628383	0.00199703807502609	gene
N-hsa03320-46	PPAR signaling pathway: APOA2	APOA2	UP	1.70867034688223	0.0889311058701867	0.108048930046419	gene
N-hsa03320-57	PPAR signaling pathway: APOC3	APOC3	UP	1.68705591488372	0.0930187274091928	0.111864126816445	gene
N-hsa03320-47	PPAR signaling pathway: PLTP	PLTP	DOWN	-9.98821537670905	1.35795872959534e-19	6.71188685233457e-19	gene
N-hsa03320-55	PPAR signaling pathway: SCD	SCD	DOWN	-1.50895195232168	0.132754737516027	0.15557862021763	gene
N-hsa03320-56	PPAR signaling pathway: FADS2	FADS2	UP	6.30531692107166	1.56946378826393e-09	3.94304733843708e-09	gene
N-hsa03320-33	PPAR signaling pathway: CYP7A1	CYP7A1	DOWN	-14.4247402196189	1.3744788783363e-33	2.17497257202043e-32	gene
N-hsa03320-59	PPAR signaling pathway: NR1H3	NR1H3	DOWN	-8.0515483947348	5.21337927593827e-14	1.71739732600346e-13	gene
N-hsa03320-63	PPAR signaling pathway: DBI	DBI	UP	0.591819240438209	0.554583078317786	0.578261696891112	gene
N-hsa03320-44	PPAR signaling pathway: FABP1	FABP1	DOWN	-7.69665413238831	4.75576449612349e-13	1.47573822758649e-12	gene
N-hsa03320-36	PPAR signaling pathway: SLC27A4	SLC27A4	DOWN	-2.83504158416215	0.0050115174237495	0.00687601030292373	gene
N-hsa03320-30	PPAR signaling pathway: LPL	LPL	DOWN	-16.8538650607926	2.12165472215575e-41	6.35778948866287e-40	gene
N-hsa03320-28	PPAR signaling pathway: ACSL1	ACSL1	DOWN	-6.67148728063894	2.0468876782362e-10	5.42136817596035e-10	gene
N-hsa03320-25	PPAR signaling pathway: EHHADH	EHHADH	DOWN	-6.42512293536453	8.12463663309528e-10	2.05786529338873e-09	gene
N-hsa03320-21	PPAR signaling pathway: ACAA1	ACAA1	DOWN	-0.497281030590432	0.619490584056938	0.642055153367617	gene
N-hsa03320-20	PPAR signaling pathway: SCP2	SCP2	DOWN	-0.0293894735009082	0.976580776654961	0.978731722044816	gene
N-hsa03320-42	PPAR signaling pathway: ACOX1	ACOX1	DOWN	-0.110102600450587	0.912428998645256	0.921340888588071	gene
N-hsa03320-27	PPAR signaling pathway: CPT1C	CPT1C	UP	1.90137226787453	0.0585681334079263	0.072384564959029	gene
N-hsa03320-26	PPAR signaling pathway: CPT2	CPT2	UP	5.57565756378305	7.23186567881334e-08	1.59641504646545e-07	gene
N-hsa03320-22	PPAR signaling pathway: ACADM	ACADM	DOWN	-4.13493959598157	5.06193651168946e-05	8.81999780393532e-05	gene
N-hsa03320-41	PPAR signaling pathway: ANGPTL4	ANGPTL4	DOWN	-12.1290898521096	3.14551125862246e-26	2.40884028854755e-25	gene
N-hsa03320-66	PPAR signaling pathway: UCP1	UCP1	DOWN	-6.95412621477548	4.04710157864632e-11	1.11972217182619e-10	gene
N-hsa03320-32	PPAR signaling pathway: FABP3	FABP3	DOWN	-1.04556229920023	0.29691770084849	0.32678859090901	gene
N-hsa03320-23	PPAR signaling pathway: ACADL	ACADL	DOWN	-17.5612459490501	1.18546535593042e-43	4.17809181979339e-42	gene
N-hsa03320-45	PPAR signaling pathway: PDPK1	PDPK1	UP	4.94971979663461	1.4835897479423e-06	2.94298279708541e-06	gene
N-hsa03320-31	PPAR signaling pathway: CD36	CD36	DOWN	-15.8838873665933	2.72965156723805e-38	5.68188881596564e-37	gene
N-hsa03320-29	PPAR signaling pathway: OLR1	OLR1	UP	15.8108127757568	4.68915288360101e-38	9.56803136084772e-37	gene
