ID	name	UP/DOWN	statistic	p.value	FDRp.value	N.nodes	N.gene.nodes	N.measured.nodes	ratio.measured.gene.nodes	nodes	N.DA.nodes	DA.nodes
P-hsa03320-37	PPAR signaling pathway: HMGCS2	DOWN	-8.70403076344816	8.21428252887548e-16	2.93523695698484e-15	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-37	2	N-hsa03320-14 15, N-hsa03320-37
P-hsa03320-61	PPAR signaling pathway: APOA1	UP	0.0791521099010868	0.936984726338185	0.999504409498627	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-61	2	N-hsa03320-14 15, N-hsa03320-61
P-hsa03320-46	PPAR signaling pathway: APOA2	DOWN	-2.15417367002225	0.0323306923848066	0.0444991774863515	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-46	1	N-hsa03320-14 15
P-hsa03320-57	PPAR signaling pathway: APOC3	DOWN	-1.64995770984347	0.100401210691031	0.12865619621337	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-57	1	N-hsa03320-14 15
P-hsa03320-64	PPAR signaling pathway: APOA5	DOWN	-0.488340696700404	0.625802643395165	0.700898960602585	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-64	2	N-hsa03320-14 15, N-hsa03320-64
P-hsa03320-47	PPAR signaling pathway: PLTP	DOWN	-13.9028011327539	7.87507444136619e-32	9.29159726541067e-31	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-47	2	N-hsa03320-14 15, N-hsa03320-47
P-hsa03320-65	PPAR signaling pathway: ME1	DOWN	-8.11058316686612	3.71689470110867e-14	1.18991373025254e-13	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-65	2	N-hsa03320-14 15, N-hsa03320-65
P-hsa03320-55	PPAR signaling pathway: SCD	DOWN	-7.79818606652312	2.6182540765598e-13	7.87154590965734e-13	11	3	3	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-55	2	N-hsa03320-14 15, N-hsa03320-18 19
P-hsa03320-56	PPAR signaling pathway: FADS2	DOWN	-0.166935336418953	0.867576696355076	0.934313365305467	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-56	2	N-hsa03320-14 15, N-hsa03320-56
P-hsa03320-33	PPAR signaling pathway: CYP7A1	DOWN	-17.0159052169959	8.60977300651842e-42	3.84569860957823e-40	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-33	2	N-hsa03320-14 15, N-hsa03320-33
P-hsa03320-58	PPAR signaling pathway: CYP8B1	DOWN	-10.635669010777	1.58451912949282e-21	8.64115664804805e-21	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-58	2	N-hsa03320-14 15, N-hsa03320-58
P-hsa03320-59	PPAR signaling pathway: NR1H3	DOWN	-14.0347279915281	2.97257953279516e-32	3.52946785033147e-31	11	3	3	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-59	3	N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-59
P-hsa03320-63	PPAR signaling pathway: DBI	DOWN	-9.46428211170194	5.22329138583352e-18	2.19214645186212e-17	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-63	1	N-hsa03320-14 15
P-hsa03320-44	PPAR signaling pathway: FABP1	DOWN	-9.94240244119282	1.99208683381598e-19	9.31958827989718e-19	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-44	2	N-hsa03320-14 15, N-hsa03320-44
P-hsa03320-36	PPAR signaling pathway: SLC27A4	DOWN	-16.566511322421	2.30981296490191e-40	7.87856204028362e-39	11	3	3	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-36	3	N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-36
P-hsa03320-30	PPAR signaling pathway: LPL	DOWN	-17.110853229852	4.30387882447049e-42	2.01851916867666e-40	13	4	4	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-49, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-30	4	N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-30
P-hsa03320-28	PPAR signaling pathway: ACSL1	DOWN	-13.8457482035633	1.19999996950009e-31	1.38110425937556e-30	11	3	3	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-28	3	N-hsa03320-14 15, N-hsa03320-18 19, N-hsa03320-28
P-hsa03320-25	PPAR signaling pathway: EHHADH	DOWN	-11.931161035062	1.49177132528212e-25	1.10615138586137e-24	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-25	2	N-hsa03320-14 15, N-hsa03320-25
P-hsa03320-21	PPAR signaling pathway: ACAA1	DOWN	-10.6646288858389	1.29192084941357e-21	7.14939089527981e-21	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-21	1	N-hsa03320-14 15
P-hsa03320-20	PPAR signaling pathway: SCP2	DOWN	-10.4417634515333	6.1896247118092e-21	3.21654735716179e-20	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-20	1	N-hsa03320-14 15
P-hsa03320-42	PPAR signaling pathway: ACOX1	DOWN	-3.98808316414995	9.11027255327733e-05	0.000158395470898501	8	3	3	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-49, N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-42	2	N-hsa03320-14 15, N-hsa03320-16 17
P-hsa03320-27	PPAR signaling pathway: CPT1C	DOWN	-4.33363290554933	2.24529905458791e-05	4.13364183160639e-05	13	4	4	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-49, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-27	3	N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19
P-hsa03320-26	PPAR signaling pathway: CPT2	DOWN	-7.74383426129199	3.6620926401288e-13	1.09396270587287e-12	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-26	2	N-hsa03320-14 15, N-hsa03320-26
P-hsa03320-22	PPAR signaling pathway: ACADM	DOWN	-10.6980314606352	1.02066867329838e-21	5.6818232377085e-21	6	2	2	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-14 15, N-hsa03320-22	2	N-hsa03320-14 15, N-hsa03320-22
P-hsa03320-41	PPAR signaling pathway: ANGPTL4	DOWN	-13.2309152981874	1.11529129516019e-29	1.11886976990402e-28	13	4	4	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-49, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-41	4	N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-41
P-hsa03320-66	PPAR signaling pathway: UCP1	DOWN	-7.85446212173691	1.84742052253683e-13	5.59896752872227e-13	13	4	4	1	N-hsa03320-1, N-hsa03320-2, N-hsa03320-3, N-hsa03320-4, N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-49, N-hsa03320-54, N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-66	4	N-hsa03320-14 15, N-hsa03320-16 17, N-hsa03320-18 19, N-hsa03320-66
P-hsa03320-60	PPAR signaling pathway: CYP27A1	DOWN	-14.4392749360381	1.49582957151969e-33	2.04830385121967e-32	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-60	1	N-hsa03320-18 19
P-hsa03320-31	PPAR signaling pathway: CD36	DOWN	-16.9282563369647	1.63380125836286e-41	6.81113591264162e-40	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-31	2	N-hsa03320-18 19, N-hsa03320-31
P-hsa03320-29	PPAR signaling pathway: OLR1	UP	2.18936429095978	0.0296387266649187	0.0409140921437729	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-29	2	N-hsa03320-18 19, N-hsa03320-29
P-hsa03320-10	PPAR signaling pathway: PLIN1	DOWN	-16.6690512036788	1.08931431106308e-40	3.9299108606814e-39	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-10	2	N-hsa03320-18 19, N-hsa03320-10
P-hsa03320-40	PPAR signaling pathway: FABP4	DOWN	-17.8961652283165	1.42515575769796e-44	9.54854357657632e-43	6	2	2	1	N-hsa03320-5, N-hsa03320-6, N-hsa03320-48, N-hsa03320-54, N-hsa03320-18 19, N-hsa03320-40	2	N-hsa03320-18 19, N-hsa03320-40
