path_id	numberOfCircuits	circuit_id	circuit_name
hsa03320	42	P-hsa03320-37	PPAR signaling pathway: HMGCS2
hsa03320	42	P-hsa03320-61	PPAR signaling pathway: APOA1
hsa03320	42	P-hsa03320-46	PPAR signaling pathway: APOA2
hsa03320	42	P-hsa03320-57	PPAR signaling pathway: APOC3
hsa03320	42	P-hsa03320-64	PPAR signaling pathway: APOA5
hsa03320	42	P-hsa03320-47	PPAR signaling pathway: PLTP
hsa03320	42	P-hsa03320-65	PPAR signaling pathway: ME1
hsa03320	42	P-hsa03320-55	PPAR signaling pathway: SCD
hsa03320	42	P-hsa03320-56	PPAR signaling pathway: FADS2
hsa03320	42	P-hsa03320-33	PPAR signaling pathway: CYP7A1
hsa03320	42	P-hsa03320-58	PPAR signaling pathway: CYP8B1
hsa03320	42	P-hsa03320-59	PPAR signaling pathway: NR1H3
hsa03320	42	P-hsa03320-63	PPAR signaling pathway: DBI
hsa03320	42	P-hsa03320-44	PPAR signaling pathway: FABP1
hsa03320	42	P-hsa03320-36	PPAR signaling pathway: SLC27A4
hsa03320	42	P-hsa03320-30	PPAR signaling pathway: LPL
hsa03320	42	P-hsa03320-28	PPAR signaling pathway: ACSL1
hsa03320	42	P-hsa03320-25	PPAR signaling pathway: EHHADH
hsa03320	42	P-hsa03320-21	PPAR signaling pathway: ACAA1
hsa03320	42	P-hsa03320-20	PPAR signaling pathway: SCP2
hsa03320	42	P-hsa03320-42	PPAR signaling pathway: ACOX1
hsa03320	42	P-hsa03320-27	PPAR signaling pathway: CPT1C
hsa03320	42	P-hsa03320-26	PPAR signaling pathway: CPT2
hsa03320	42	P-hsa03320-22	PPAR signaling pathway: ACADM
hsa03320	42	P-hsa03320-41	PPAR signaling pathway: ANGPTL4
hsa03320	42	P-hsa03320-66	PPAR signaling pathway: UCP1
hsa03320	42	P-hsa03320-60	PPAR signaling pathway: CYP27A1
hsa03320	42	P-hsa03320-31	PPAR signaling pathway: CD36
hsa03320	42	P-hsa03320-29	PPAR signaling pathway: OLR1
hsa03320	42	P-hsa03320-10	PPAR signaling pathway: PLIN1
hsa03320	42	P-hsa03320-40	PPAR signaling pathway: FABP4
hsa03320	42	P-hsa03320-53	PPAR signaling pathway: ADIPOQ
hsa03320	42	P-hsa03320-38	PPAR signaling pathway: SORBS1
hsa03320	42	P-hsa03320-39	PPAR signaling pathway: MMP1
hsa03320	42	P-hsa03320-9	PPAR signaling pathway: PCK1
hsa03320	42	P-hsa03320-7	PPAR signaling pathway: AQP7
hsa03320	42	P-hsa03320-8	PPAR signaling pathway: GK
hsa03320	42	P-hsa03320-32	PPAR signaling pathway: FABP3
hsa03320	42	P-hsa03320-23	PPAR signaling pathway: ACADL
hsa03320	42	P-hsa03320-43	PPAR signaling pathway: ILK
hsa03320	42	P-hsa03320-45	PPAR signaling pathway: PDPK1
hsa03320	42	P-hsa03320-62	PPAR signaling pathway: UBC
hsa03460	7	P-hsa03460-48	Fanconi anemia pathway: RAD51
hsa03460	7	P-hsa03460-25 40	Fanconi anemia pathway: MLH1 PMS2
hsa03460	7	P-hsa03460-28	Fanconi anemia pathway: RAD51C
hsa03460	7	P-hsa03460-7	Fanconi anemia pathway: FANCI
hsa03460	7	P-hsa03460-27	Fanconi anemia pathway: BRCA1
hsa03460	7	P-hsa03460-16 49	Fanconi anemia pathway: FANCM C19orf40
hsa03460	7	P-hsa03460-16 34	Fanconi anemia pathway: FANCM STRA13
hsa04010	28	P-hsa04010-15	MAPK signaling pathway: NFKB1
hsa04010	28	P-hsa04010-61	MAPK signaling pathway: ATF4
hsa04010	28	P-hsa04010-79	MAPK signaling pathway: HSPB1
hsa04010	28	P-hsa04010-68	MAPK signaling pathway: ATF2
hsa04010	28	P-hsa04010-67	MAPK signaling pathway: ELK1
hsa04010	28	P-hsa04010-66	MAPK signaling pathway: TP53
hsa04010	28	P-hsa04010-65	MAPK signaling pathway: ELK4
hsa04010	28	P-hsa04010-64	MAPK signaling pathway: DDIT3
hsa04010	28	P-hsa04010-63	MAPK signaling pathway: MAX
hsa04010	28	P-hsa04010-62	MAPK signaling pathway: MEF2C
hsa04010	28	P-hsa04010-58	MAPK signaling pathway: CDC25B
hsa04010	28	P-hsa04010-57	MAPK signaling pathway: NLK
hsa04010	28	P-hsa04010-134	MAPK signaling pathway: ATF4*
hsa04010	28	P-hsa04010-129	MAPK signaling pathway: FOS
hsa04010	28	P-hsa04010-14	MAPK signaling pathway: MAPT
hsa04010	28	P-hsa04010-13	MAPK signaling pathway: STMN1
hsa04010	28	P-hsa04010-12	MAPK signaling pathway: PLA2G4B
hsa04010	28	P-hsa04010-131	MAPK signaling pathway: MYC
hsa04010	28	P-hsa04010-118	MAPK signaling pathway: JUN
hsa04010	28	P-hsa04010-117	MAPK signaling pathway: JUND
hsa04010	28	P-hsa04010-120	MAPK signaling pathway: NFATC1
hsa04010	28	P-hsa04010-119	MAPK signaling pathway: NFATC3
hsa04010	28	P-hsa04010-54	MAPK signaling pathway: NR4A1
hsa04010	28	P-hsa04010-78	MAPK signaling pathway: MAP3K4
hsa04010	28	P-hsa04010-107	MAPK signaling pathway: MAP3K2
hsa04010	28	P-hsa04010-87	MAPK signaling pathway: STK3
hsa04010	28	P-hsa04010-88 92	MAPK signaling pathway: ECSIT TRAF6
hsa04010	28	P-hsa04010-86	MAPK signaling pathway: MAP4K2
hsa04012	18	P-hsa04012-23	ErbB signaling pathway: RPS6KB1
hsa04012	18	P-hsa04012-22	ErbB signaling pathway: EIF4EBP1
hsa04012	18	P-hsa04012-31	ErbB signaling pathway: BAD
hsa04012	18	P-hsa04012-21	ErbB signaling pathway: GSK3B
hsa04012	18	P-hsa04012-25	ErbB signaling pathway: CDKN1B
hsa04012	18	P-hsa04012-24	ErbB signaling pathway: CDKN1A
hsa04012	18	P-hsa04012-57	ErbB signaling pathway: ABL1
hsa04012	18	P-hsa04012-65	ErbB signaling pathway: MYC
hsa04012	18	P-hsa04012-3	ErbB signaling pathway: ELK1
hsa04012	18	P-hsa04012-48	ErbB signaling pathway: CAMK2A
hsa04012	18	P-hsa04012-47	ErbB signaling pathway: PRKCA
hsa04012	18	P-hsa04012-43	ErbB signaling pathway: PTK2
hsa04012	18	P-hsa04012-29	ErbB signaling pathway: STAT5A*
hsa04012	18	P-hsa04012-56	ErbB signaling pathway: JUN
hsa04012	18	P-hsa04012-40	ErbB signaling pathway: ELK1*
hsa04012	18	P-hsa04012-35	ErbB signaling pathway: CBLC
hsa04012	18	P-hsa04012-8	ErbB signaling pathway: STAT5A
hsa04012	18	P-hsa04012-37 7	ErbB signaling pathway: ERBB3 ERBB3
hsa04014	32	P-hsa04014-42	Ras signaling pathway: PLA2G4B
hsa04014	32	P-hsa04014-43	Ras signaling pathway: ELK1
hsa04014	32	P-hsa04014-44	Ras signaling pathway: ETS1
hsa04014	32	P-hsa04014-33	Ras signaling pathway: BCL2L1
hsa04014	32	P-hsa04014-35	Ras signaling pathway: NFKB1
hsa04014	32	P-hsa04014-37	Ras signaling pathway: FASLG
hsa04014	32	P-hsa04014-97	Ras signaling pathway: PAK4
hsa04014	32	P-hsa04014-54	Ras signaling pathway: RHOA
hsa04014	32	P-hsa04014-38	Ras signaling pathway: MAPK8
hsa04014	32	P-hsa04014-41	Ras signaling pathway: RAC1*
hsa04014	32	P-hsa04014-100	Ras signaling pathway: REL
hsa04014	32	P-hsa04014-24	Ras signaling pathway: PLD1
hsa04014	32	P-hsa04014-26	Ras signaling pathway: PRKCA
hsa04014	32	P-hsa04014-30	Ras signaling pathway: D-myo-Inositol 1,4,5-trisphosphate
hsa04014	32	P-hsa04014-27	Ras signaling pathway: ABL1
hsa04014	32	P-hsa04014-45	Ras signaling pathway: RAB5A
hsa04014	32	P-hsa04014-61	Ras signaling pathway: RAP1A
hsa04014	32	P-hsa04014-79	Ras signaling pathway: RAC1**
hsa04014	32	P-hsa04014-103	Ras signaling pathway: KSR2
hsa04014	32	P-hsa04014-58 59	Ras signaling pathway: STK4 STK4
hsa04014	32	P-hsa04014-55	Ras signaling pathway: MLLT4
hsa04014	32	P-hsa04014-62	Ras signaling pathway: RASSF5
hsa04014	32	P-hsa04014-63	Ras signaling pathway: TIAM1*
hsa04014	32	P-hsa04014-64	Ras signaling pathway: PIK3R5*
hsa04014	32	P-hsa04014-65	Ras signaling pathway: MLLT4*
hsa04014	32	P-hsa04014-66	Ras signaling pathway: RAF1*
hsa04014	32	P-hsa04014-104	Ras signaling pathway: BRAP*
